date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas,Dosis administradas,% sobre entregadas,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
22/1/21,Andalucía,244620,6800,251420,209766,0.8343250338079707,20846,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Aragón,41265,1200,42465,41287,0.9722595078299776,2165,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Asturias,44195,1200,45395,41465,0.9134265888313691,6851,22/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Baleares,22590,600,23190,20499,0.8839586028460543,2660,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Canarias,46185,1300,47485,47068,0.9912182794566705,2865,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Cantabria,20625,500,21125,20462,0.9686153846153847,241,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Castilla y Leon,93315,2500,95815,86370,0.9014246203621562,6060,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Castilla La Mancha,61875,1700,63575,57031,0.8970664569406213,1593,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Cataluña,211220,5800,217020,173147,0.7978389088563266,4101,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,C. Valenciana,109000,2900,111900,103426,0.9242716711349419,4139,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Extremadura,39275,1000,40275,32979,0.8188454376163873,638,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Galicia,66805,1800,68605,65394,0.953195831207638,7204,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,La Rioja,11765,200,11965,8967,0.7494358545758463,317,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Madrid,171915,4700,176615,154778,0.8763581802225179,2263,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Murcia,45185,1200,46385,42261,0.9110919478279617,2086,22/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Navarra,20625,500,21125,16310,0.7720710059171597,807,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,País Vasco,55980,1400,57380,41474,0.7227953990937609,3044,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Ceuta,1980,200,2180,1641,0.7527522935779817,373,21/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Melilla,1980,200,2180,1500,0.6880733944954128,203,20/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
22/1/21,Totales,1310400,35700,1346100,1165825,0.8660760716142931,68456,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods
