date_pub,ccaa,Personas con al menos 1 dosis >=80 años,Población INE>=80 años,%,Personas con al menos 1 dosis 70-79 años,Población INE70-79 años,%.1,Personas con al menos 1 dosis 60-69 años,Población INE60-69 años,%.2,Personas con al menos 1 dosis 50-59 años,Población INE50-59 años,%.3,Personas con al menos 1 dosis 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas con al menos 1 dosis,Total Población INE Población a Vacunar (1),% Con al menos 1 dosis sobre Población a Vacunar INE,source_name,source
5/5/21,Andalucía,425758,413516,1.0,593313,650381,0.9122545092799451,580223,916147,0.6333295857542512,155669,1265021,0.12305645518928145,340659,3009381,0.1131990266436852,30968,625846,0.0494818214065441,369,181921,0.002028352966397502,2126959,7062213,0.3011745751650368,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210505.ods
5/5/21,Aragón,99405,98807,1.0,108906,118955,0.9155226766424278,105390,156367,0.6739913153031011,28859,198266,0.14555697900799935,52515,446083,0.11772472835772715,5930,89180,0.06649472976003588,35,25106,0.0013940890623755278,401040,1132764,0.3540366748943293,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210505.ods
5/5/21,Asturias ,87184,87826,0.9926900917723681,102543,109249,0.9386172871147562,84721,149652,0.5661200652179723,26567,162645,0.16334347812720956,42410,322095,0.1316692280227883,4186,54179,0.07726240794403735,37,15563,0.002377433656749984,347648,901209,0.3857573548422175,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210505.ods
5/5/21,Baleares,49241,49542,0.9939243470186913,63103,80516,0.7837324258532465,65076,117231,0.555109143485938,23041,165797,0.13897115146836192,44057,464054,0.09493938205467467,3822,85839,0.044525215810995,36,23300,0.0015450643776824034,248376,986279,0.2518313783422338,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210505.ods
5/5/21,Canarias,87451,90236,0.9691364865463895,124505,154531,0.8056959445030447,148761,235092,0.6327778061354704,32136,350512,0.09168302369105766,69514,832411,0.08350922801356542,6141,163899,0.03746819687734519,60,44352,0.0013528138528138528,468568,1871033,0.2504327823186443,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210505.ods
5/5/21,Cantabria,41405,41042,1.0,51708,53066,0.9744092262465609,37037,77345,0.4788544831598681,12034,89964,0.13376461695789427,23407,194241,0.12050493973980776,1632,34935,0.04671532846715328,5,10791,0.0004633490872022982,167228,501384,0.33353278126146824,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210505.ods
5/5/21,Castilla y Leon,226592,223657,1.0,237842,245410,0.9691618108471537,181101,318575,0.5684721023306913,58001,381175,0.15216370433527907,90466,738950,0.12242506258880845,7999,144422,0.055386298486380194,105,40684,0.00258086717136958,802106,2092873,0.38325593574000905,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210505.ods
5/5/21,Castilla - La Mancha,135765,135194,1.0,146164,159101,0.9186868718612705,134213,218444,0.6144046071304315,47970,307478,0.1560111617741757,77553,707865,0.1095590260854824,6395,149518,0.04277077007450608,103,42364,0.0024313096024926825,548163,1719964,0.31870608919721577,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210505.ods
5/5/21,Cataluña,447024,447196,0.9996153811751447,480388,635292,0.7561688168590192,557210,837584,0.6652586486847887,146550,1091780,0.13423033944567586,317347,2803626,0.11319163112340946,40259,556316,0.07236714385349334,440,159864,0.0027523394885652806,1989218,6531658,0.3045502382396629,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210505.ods
5/5/21,C. Valenciana,290059,276531,1.0,381067,437862,0.8702901827516432,292512,580728,0.5036988056370625,98184,752334,0.13050586574579906,206878,1765967,0.11714714940879416,18112,352834,0.05133292143047439,137,103049,0.0013294646236256538,1286949,4269305,0.3014422722199515,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210505.ods
