date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
8/10/21,Andalucía,9434970,2019500,1528900,333500,13316870,12768263,0.9588036077546751,6802267,6625656,44612,7/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211008.ods
8/10/21,Aragón,1531845,275200,265100,64700,2136845,1991241,0.9318602893518247,1062254,1040171,14972,7/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211008.ods
8/10/21,Asturias,1224725,162000,220900,43000,1650625,1665609,1.0090777735706171,871936,861126,6354,7/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211008.ods
8/10/21,Baleares,1272150,305100,256400,57600,1891250,1587474,0.8393781890284203,850017,830974,0,7/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211008.ods
8/10/21,Canarias,2358690,574700,455800,133650,3522840,3125698,0.887266523600277,1665475,1619778,9730,7/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211008.ods
8/10/21,Cantabria,727305,114900,125200,22200,989605,914147,0.9237493747505318,480336,471933,5584,7/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211008.ods
8/10/21,Castilla y Leon,2916525,412400,481200,102200,3912325,3750626,0.9586693334526145,1994354,1951003,31212,7/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211008.ods
8/10/21,Castilla La Mancha,2330505,446800,394900,95075,3267280,3005154,0.9197724100781078,1610932,1545853,15321,7/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211008.ods
8/10/21,Cataluña,8368460,1604900,1514300,375750,11863410,11033958,0.9300831717018968,5918606,5756291,53660,7/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211008.ods
8/10/21,C. Valenciana,5797540,1213650,863900,213450,8088540,7608972,0.9407101899724796,4056374,3978198,29024,7/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211008.ods
