date_pub,ccaa,Personas pauta completa >=80 años,Población INE>=80 años,%,Personas pauta completa 70-79 años,Población INE70-79 años,%.1,Personas pauta completa 60-69 años,Población INE60-69 años,%.2,Personas pauta completa 50-59 años,Población INE50-59 años,%.3,Personas pauta completa 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas pauta completa,Total Población INE Población a Vacunar (1),% pauta completa sobre Población a Vacunar INE,source_name,source
26/5/21,Andalucía,418884,413516,1.0,585829,650381,0.9007474080577385,129483,916147,0.1413343055208389,94669,1265021,0.07483591181490268,162036,3009381,0.05384363096596941,15781,625846,0.025215468342052197,353,181921,0.0019404027022718652,1407035,7062213,0.19923429100764872,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Aragón,97847,98807,0.9902840891839647,107844,118955,0.9065949308562061,33459,156367,0.21397737374254158,16783,198266,0.08464890601515136,25258,446083,0.056621749764057365,1725,89180,0.01934290199596322,31,25106,0.001234764598104039,282947,1132764,0.24978459767436112,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Asturias ,86003,87826,0.9792430487554938,98127,109249,0.8981958644930388,18605,149652,0.1243217598161067,20480,162645,0.12591841126379538,33956,322095,0.1054223132926621,3757,54179,0.06934421085660496,36,15563,0.0023131786930540386,260964,901209,0.2895710096104233,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Baleares,48545,49542,0.9798756610552662,62766,80516,0.7795469223508371,6503,117231,0.05547167558069111,10207,165797,0.06156323697051213,20419,464054,0.04400134467109431,1522,85839,0.01773086825335803,35,23300,0.0015021459227467812,149997,986279,0.15208374101040376,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Canarias,85798,90236,0.9508178554013919,124690,154531,0.8068931152972543,19273,235092,0.08198067139672979,32532,350512,0.0928127995617839,39654,832411,0.047637525212905645,2892,163899,0.01764501308732817,56,44352,0.0012626262626262627,304895,1871033,0.16295543691639858,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Cantabria,41239,41042,1.0,50262,53066,0.9471601402027664,6922,77345,0.08949511927079966,7260,89964,0.08069894624516473,12546,194241,0.06458986516749811,739,34935,0.02115357091741806,5,10791,0.0004633490872022982,118973,501384,0.2372891835399614,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Castilla y Leon,223632,223657,0.9998882216966158,236426,245410,0.963391874821727,59775,318575,0.1876324256454524,36295,381175,0.09521873155374828,46161,738950,0.06246836727789431,3039,144422,0.021042500450069935,105,40684,0.00258086717136958,605433,2092873,0.28928320065288243,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Castilla - La Mancha,133685,135194,0.9888382620530497,143923,159101,0.9046014795632963,27213,218444,0.12457655051180165,37694,307478,0.12259088455108984,39402,707865,0.055663156110275266,4308,149518,0.028812584437994088,97,42364,0.0022896799169105845,386322,1719964,0.2246105151038045,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Cataluña,439136,447196,0.981976582974803,458081,635292,0.7210558294453574,72709,837584,0.08680800970410132,89281,1091780,0.08177563245342469,156084,2803626,0.05567219022794053,21312,556316,0.038309162418481583,380,159864,0.0023770204673972876,1236983,6531658,0.18938269578719522,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,C. Valenciana,286363,276531,1.0,372069,437862,0.849740329144799,56185,580728,0.09674925266217575,58330,752334,0.07753205358258433,74828,1765967,0.04237225270913896,6150,352834,0.01743029299897402,135,103049,0.0013100563809449873,854060,4269305,0.20004661180215516,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
