date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
25/10/21,Andalucía,9434970,2019500,1528900,333500,13316870,12911991,0.9695965343207525,6837216,6728587,94695,24/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Aragón,1531845,275200,265100,64700,2136845,2004019,0.9378401334677995,1065702,1046295,19334,23/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Asturias,1224725,162000,220900,43000,1650625,1677703,1.0164046951912153,873504,864580,13853,22/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Baleares,1272150,305100,256400,57600,1891250,1605357,0.8488338400528751,855619,838207,6349,24/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Canarias,2358690,574700,455800,133650,3522840,3155026,0.8955916249389697,1677222,1636507,13069,24/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Cantabria,727305,114900,125200,22200,989605,920951,0.9306248452665458,481975,475814,7627,22/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Castilla y Leon,2916525,412400,481200,102200,3912325,3793355,0.9695909721201588,1999544,1959795,62850,20/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Castilla La Mancha,2330505,446800,394900,95075,3267280,3025617,0.9260354178399157,1617085,1552172,22165,23/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Cataluña,8368460,1604900,1514300,375750,11863410,11152228,0.9400524806948424,5962893,5832442,73718,24/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,C. Valenciana,5797540,1213650,863900,213450,8088540,7657132,0.9466642929379097,4070533,4003935,40404,24/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Extremadura,1226825,218200,186000,51750,1682775,1707639,1.0147755938851004,897204,882549,18272,23/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Galicia,3155029,507400,573400,122700,4358529,4409856,1.0117762208304684,2308073,2285753,26604,23/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,La Rioja,374465,67600,53300,15200,510565,482095,0.9442382458648751,259819,254327,3547,21/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Madrid,7637679,1645800,1220900,321450,10825829,9870147,0.9117220491844089,5328683,5211380,53500,24/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Murcia,1687865,398000,253010,68300,2407175,2225989,0.9247308567096285,1189055,1156729,6184,23/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Navarra,734325,151500,136600,23750,1046175,982192,0.9388410160823953,527304,520739,3252,24/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,País Vasco,2597220,526100,444200,101300,3668820,3366713,0.9176555404735037,1810047,1778298,14181,24/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Ceuta,95580,22400,18100,4150,140230,114430,0.8160165442487343,62460,59666,441,22/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
25/10/21,Melilla,96750,23500,15100,5750,141100,102014,0.7229907866761163,57202,54706,204,20/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211025.ods
