date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas,Dosis administradas,% sobre entregadas,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
27/1/21,Andalucía,324180,6800,330980,257976,0.7794307813160916,50951,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Aragón,55305,1200,56505,47835,0.8465622511282187,5860,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Asturias,58235,1200,59435,49077,0.8257255825691933,13727,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Baleares,29610,600,30210,23603,0.7812975835815955,3114,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Canarias,64320,1300,65620,54653,0.8328710758914964,6434,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Cantabria,27645,500,28145,20910,0.7429383549475929,300,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Castilla y Leon,121395,2500,123895,104197,0.8410105331127165,18756,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Castilla La Mancha,82935,1700,84635,68522,0.8096177704259467,6982,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Cataluña,280250,5800,286050,201650,0.7049466876420206,18426,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,C. Valenciana,142930,2900,145830,108454,0.7437015703216073,7304,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Extremadura,50975,1000,51975,37790,0.7270803270803271,3134,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Galicia,87865,1800,89665,72676,0.8105280767300508,14235,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,La Rioja,14105,200,14305,9618,0.6723523243621111,684,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Madrid,228075,4700,232775,174094,0.7479067769305123,5611,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Murcia,59225,1200,60425,50957,0.8433098882912702,7453,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Navarra,27645,500,28145,20057,0.7126310179427963,2541,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,País Vasco,74700,1400,76100,50850,0.6681997371879106,6637,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Ceuta,1980,200,2180,1829,0.8389908256880734,503,25/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Melilla,1980,200,2180,1713,0.7857798165137615,414,26/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
27/1/21,Totales,1733355,35700,1769055,1356461,0.7667715249101922,173066,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods
