date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
19/8/21,Andalucía,7861320,1305500,1805800,525450,11498070,11292089,0.982085602192368,6342820,5257320,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Aragón,1345815,203700,285700,64700,1899915,1794660,0.9446001531647469,992966,901296,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Asturias,1089005,148800,235900,49700,1523405,1518570,0.996826188702282,824600,744119,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Baleares,1107180,252300,256400,62400,1678280,1444573,0.8607461210286722,803392,722383,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Canarias,1967910,443900,503700,133650,3049160,2800453,0.9184342573036508,1580191,1363152,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Cantabria,593925,84600,130200,24950,833675,772417,0.9265205265841006,426007,376460,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Castilla y Leon,2478945,358300,514400,112850,3464495,3360644,0.9700242026615712,1872168,1662226,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Castilla La Mancha,2027475,330700,460900,101375,2920450,2693802,0.922392781934291,1523089,1318449,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Cataluña,7720280,1320500,1698100,439500,11178380,9820205,0.8784998362911263,5536818,4834432,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,C. Valenciana,5040550,871200,906800,307250,7125800,6612929,0.9280261865334418,3790070,3205358,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Extremadura,1081745,160000,228000,51750,1521495,1504895,0.9890896782440954,839023,741223,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Galicia,2792905,383500,595400,131800,3903605,3827858,0.980595628912249,2117055,1882226,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,La Rioja,327665,49900,61400,15200,454165,419600,0.9238932986910043,239906,209556,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Madrid,6784749,1262700,1309400,381450,9738299,8658474,0.8891156453503841,4914767,4360375,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Murcia,1481945,304400,259900,88100,2134345,1943086,0.9103898385687412,1116775,890410,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Navarra,653595,113800,145700,32750,945845,876802,0.927003895987186,493144,434536,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,País Vasco,2234520,339300,444200,110850,3128870,2958933,0.9456874206982073,1653265,1481851,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Ceuta,80370,18400,18100,4150,121020,99674,0.8236159312510329,56022,49855,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Melilla,81540,19300,15100,5750,121690,91435,0.7513764483523708,52395,47153,16/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Fuerzas Armadas,49368,58300,103900,2000,213568,169733,0.7947492133652981,91242,79676,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Sanidad Exterior,0,4180,0,2710,6890,4681,0.6793904208998549,3561,3073,18/8/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
19/8/21,Totales,46800807,8033280,9979000,2648335,67461422,62665513,0.9289088658700375,35269276,30565129,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210819.ods
