date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Pfizer pediatrica,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
3/3/22,Andalucía,11421630,1062000,3319500,1537200,333500,17673830,16870856.0,0.9545670632794363,7450970,7059356,4009777,2/3/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220303.ods
3/3/22,Aragón,1853541,150000,477490,254710,59180,2794921,2604405.0,0.9318349248511855,1145524,1097782,672552,1/3/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220303.ods
3/3/22,Asturias,1575725,114000,516040,220900,43000,2469665,2252623.5,0.91211702801797,924981,888068,707836,2/3/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220303.ods
3/3/22,Baleares,1318884,126000,542970,225400,56520,2269774,2004379.5,0.8830744823052867,925866,890553,454346,2/3/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220303.ods
3/3/22,Canarias,2812650,234000,824700,455800,133650,4460800,4065758.5,0.9114415575681493,1812421,1712128,944446,2/3/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220303.ods
3/3/22,Cantabria,925035,60000,175400,120490,22145,1303070,1244872.5,0.9553381629536403,518062,500304,348446,2/3/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220303.ods
3/3/22,Castilla y Leon,4086183,282000,753060,466170,95315,5682728,5229417.5,0.9202301253904814,2141112,2052499,1474316,2/3/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220303.ods
3/3/22,Castilla La Mancha,2763405,258000,840660,380370,92350,4334785,3874973.5,0.8939251889078698,1752520,1638914,1012747,1/3/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220303.ods
3/3/22,Cataluña,8673200,690000,3238880,1485670,355800,14443550,13921791.5,0.963876020784364,6471552,6194989,3581585,2/3/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220303.ods
3/3/22,C. Valenciana,6731200,546000,2144530,863900,213125,10498755,9946429.0,0.9473912859191399,4427427,4190948,2840909,2/3/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220303.ods
