date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
19/11/21,Andalucía,9935730,2019500,1528900,333500,13817630,13485538,0.9759660665396309,6871390,6770039,600380,17/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Aragón,1575441,293520,263960,63815,2196736,2113359,0.9620450522957698,1070076,1052291,118885,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Asturias,1374485,161040,220900,43000,1799425,1782538,0.9906153354543813,874174,866486,116589,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Baleares,1318950,305100,245600,57600,1927250,1688407,0.8760705668698924,863675,847769,73202,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Canarias,2403150,574700,455800,133650,3567300,3237324,0.907499789756959,1686659,1647211,77442,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Cantabria,768255,114900,125200,22200,1030555,968135,0.9394306951108868,484160,478894,49022,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Castilla y Leon,3274545,411415,467030,100375,4253365,4006364,0.9419280969303129,2009408,1972535,257680,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Castilla La Mancha,2360925,446270,394800,93735,3295730,3194287,0.9692198693460933,1626166,1569551,172767,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Cataluña,8469080,1604900,1514300,375750,11964030,11588014,0.9685711252813642,6011353,5889845,415913,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,C. Valenciana,6197680,1213650,863900,213425,8488655,8041664,0.9473425413095479,4088533,4025399,388235,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Extremadura,1377755,218200,186000,51750,1833705,1824711,0.9950951761597422,900427,886767,129160,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Galicia,3663979,527400,573400,122700,4887479,4600777,0.9413394922003757,2313973,2293883,204482,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,La Rioja,421265,67600,53240,15200,557305,506535,0.9089008711567275,261187,256461,24681,17/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Madrid,7637685,1645800,1227000,321450,10831935,10312737,0.9520678438339965,5379537,5271021,389712,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Murcia,1687865,398000,253010,68300,2407175,2339612,0.9719326596529126,1198169,1168292,100765,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Navarra,762405,151500,136600,23750,1074255,1047190,0.9748057956444234,529487,523348,63818,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,País Vasco,2647530,526100,444200,101300,3719130,3536084,0.9507825754948066,1819103,1789284,166945,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Ceuta,97920,22270,18100,3935,142225,119653,0.8412937247319389,63079,60526,4249,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Melilla,96750,23500,15100,5750,141100,106031,0.7514599574769667,58258,55740,2602,18/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Fuerzas Armadas,48138,58300,103800,2000,212238,177467,0.8361697716714255,95201,89027,0,17/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Sanidad Exterior,0,4990,0,4465,9455,7489,0.7920676890534109,5687,5491,0,16/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
19/11/21,Totales,56119533,10788655,9090840,2157650,78156678,74683916,0.9555666631583293,38209702,37519860,3356529,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211119.ods
