date_pub,ccaa,Personas pauta completa >=80 años,Población INE>=80 años,%,Personas pauta completa 70-79 años,Población INE70-79 años,%.1,Personas pauta completa 60-69 años,Población INE60-69 años,%.2,Personas pauta completa 50-59 años,Población INE50-59 años,%.3,Personas pauta completa 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas pauta completa,Total Población INE Población a Vacunar (1),% pauta completa sobre Población a Vacunar INE,source_name,source
8/4/21,Andalucía,259718,413516,0.6280724325056346,14063,650381,0.021622710380530798,42363,916147,0.04624039591899553,71345,1265021,0.05639827323024677,131966,3009381,0.043851542892043245,11971,625846,0.01912770873345839,87,181921,0.00047822956118315094,531513,7062213,0.07526153629181108,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210408.ods
8/4/21,Aragón,50076,98807,0.5068061979414414,3250,118955,0.02732125593711908,9498,156367,0.060741716602607965,14067,198266,0.07095013769380529,21680,446083,0.04860082092346043,1450,89180,0.016259250953128503,25,25106,0.0009957779016968055,100046,1132764,0.08832025029044002,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210408.ods
8/4/21,Asturias ,44333,87826,0.5047821829526564,3653,109249,0.033437377001162484,9987,149652,0.06673482479352097,13651,162645,0.0839312613360386,21091,322095,0.06548068116549466,2341,54179,0.04320862326731759,25,15563,0.0016063740923986378,95081,901209,0.10550382874560729,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210408.ods
8/4/21,Baleares,19878,49542,0.4012353154898874,2198,80516,0.027298921953400567,4976,117231,0.04244611067038582,7626,165797,0.045996007165389,17474,464054,0.037655100483995396,1240,85839,0.01444564824846515,30,23300,0.0012875536480686696,53422,986279,0.05416520071906631,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210408.ods
8/4/21,Canarias,36504,90236,0.4045392082982402,13594,154531,0.08796940419721609,9360,235092,0.039814200398142006,17120,350512,0.04884283562331675,34513,832411,0.04146148957666345,2387,163899,0.014563847247390162,20,44352,0.00045093795093795094,113498,1871033,0.06066060833774711,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210408.ods
8/4/21,Cantabria,23021,41042,0.5609132108571707,1673,53066,0.03152677797459767,3719,77345,0.04808326330079514,5530,89964,0.06146903205726735,10420,194241,0.053644699110898315,596,34935,0.01706025475883784,3,10791,0.00027800945232137893,44962,501384,0.08967577744802387,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210408.ods
8/4/21,Castilla y Leon,121330,223657,0.542482461984199,9480,245410,0.0386292327126034,20063,318575,0.06297732088205289,29931,381175,0.07852298812881223,41697,738950,0.05642736315041613,2618,144422,0.018127432108681504,83,40684,0.002040114049749287,225202,2092873,0.10760423589964609,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210408.ods
8/4/21,Castilla - La Mancha,65818,135194,0.4868411320028995,5634,159101,0.035411468186875,13628,218444,0.062386698650455034,22260,307478,0.07239542341240675,34542,707865,0.04879744018986671,3532,149518,0.02362257387070453,85,42364,0.0020064205457463883,145499,1719964,0.08459421243700449,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210408.ods
8/4/21,Cataluña,163082,447196,0.36467678601776404,27358,635292,0.04306366206405873,48232,837584,0.057584672104529215,66899,1091780,0.0612751653263478,126644,2803626,0.045171502903739655,16085,556316,0.028913423306178503,196,159864,0.0012260421358154432,448496,6531658,0.06866495459498952,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210408.ods
8/4/21,C. Valenciana,137776,276531,0.4982298548806463,10229,437862,0.02336124166974983,23264,580728,0.04006006254218843,33529,752334,0.04456664194360484,67726,1765967,0.03835066000667057,5145,352834,0.014581928045483144,92,103049,0.0008927791633106581,277761,4269305,0.0650600039116437,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210408.ods
