date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
13/12/21,Andalucía,10486800,2119500,1537200,333500,14477000,14392728,0.994178904469158,6915735,6805502,1426909,12/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211213.ods
13/12/21,Aragón,1675761,328490,255200,63565,2323016,2269589,0.9770010193644814,1078517,1057723,260252,12/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211213.ods
13/12/21,Asturias,1447025,291040,220900,43000,2001965,1968969,0.983518193375009,876743,868129,298251,12/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211213.ods
13/12/21,Baleares,1318884,335070,225400,56420,1935774,1800681,0.9302124111595672,876818,856533,166354,12/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211213.ods
13/12/21,Canarias,2403150,624700,455800,133650,3617300,3500008,0.9675747104193736,1700331,1654552,319216,12/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211213.ods
13/12/21,Cantabria,844305,122900,125200,22200,1114605,1043068,0.9358185186680483,486983,480772,119417,12/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211213.ods
13/12/21,Castilla y Leon,3867399,611570,466170,97620,5042759,4521759,0.896683541688191,2023104,1985497,742877,12/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211213.ods
13/12/21,Castilla La Mancha,2490795,581270,382100,93735,3547900,3460527,0.9753733194283942,1638809,1577285,416040,12/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211213.ods
13/12/21,Cataluña,8469080,2054900,1514300,375750,12414030,12442613,1.002302475505537,6105151,5946825,1135789,12/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211213.ods
13/12/21,C. Valenciana,6256180,1543650,863900,213125,8876855,8442054,0.9510185758356986,4093220,4029904,779949,10/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211213.ods
