date_pub,ccaa,Personas con al menos 1 dosis >=80 años,Población INE>=80 años,%,Personas con al menos 1 dosis 70-79 años,Población INE70-79 años,%.1,Personas con al menos 1 dosis 60-69 años,Población INE60-69 años,%.2,Personas con al menos 1 dosis 50-59 años,Población INE50-59 años,%.3,Personas con al menos 1 dosis 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas con al menos 1 dosis,Total Población INE Población a Vacunar (1),% Con al menos 1 dosis sobre Población a Vacunar INE,source_name,source
26/5/21,Andalucía,429255,413516,1.0,636895,650381,0.9792644619077125,808761,916147,0.8827851862201154,659023,1265021,0.520958150101856,381554,3009381,0.12678819996537494,37728,625846,0.060283200659587186,505,181921,0.002775930211465416,2953721,7062213,0.41824297851112674,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Aragón,100174,98807,1.0,116070,118955,0.9757471312681266,139850,156367,0.8943702955227126,85309,198266,0.4302754884851664,60779,446083,0.13625042873187276,6637,89180,0.07442251625925095,56,25106,0.0022305424998008442,508875,1132764,0.44923302647329894,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Asturias ,87978,87826,1.0,112140,109249,1.0,134066,149652,0.8958517092989068,81325,162645,0.5000153708998125,44949,322095,0.1395519955292693,4534,54179,0.08368556082615035,43,15563,0.002762963438925657,465035,901209,0.516012378926531,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Baleares,50208,49542,1.0,75535,80516,0.9381365194495505,93635,117231,0.798722180993082,93082,165797,0.5614214973732938,50156,464054,0.1080822490486021,4379,85839,0.05101410780647491,41,23300,0.001759656652360515,367036,986279,0.3721421626132159,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Canarias,90192,90236,0.9995123897335875,144187,154531,0.9330619746199792,194638,235092,0.8279226855869192,156219,350512,0.4456880220933948,101939,832411,0.12246234131937228,7778,163899,0.04745605525354029,75,44352,0.001691017316017316,695028,1871033,0.37146752622749035,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Cantabria,41937,41042,1.0,55119,53066,1.0,68720,77345,0.8884866507207965,32793,89964,0.3645124716553288,25326,194241,0.13038441935533693,1778,34935,0.050894518391298126,9,10791,0.0008340283569641367,225682,501384,0.45011807317345587,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Castilla y Leon,227671,223657,1.0,246575,245410,1.0,298507,318575,0.9370069842266342,106161,381175,0.2785098707942546,98569,738950,0.13339062182826983,9017,144422,0.062435086067219675,112,40684,0.0027529249827942187,986612,2092873,0.4714151312573673,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Castilla - La Mancha,136712,135194,1.0,155626,159101,0.9781585282304951,201671,218444,0.9232160187508012,173319,307478,0.563679352669134,86278,707865,0.12188482267098953,7878,149518,0.05268930831070506,110,42364,0.002596544235671797,761594,1719964,0.44279647713556797,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Cataluña,452412,447196,1.0,595658,635292,0.9376129401912822,692634,837584,0.8269427305201628,602928,1091780,0.5522431259044862,345613,2803626,0.12327357500608141,46600,556316,0.08376534199987058,757,159864,0.004735274983736176,2736602,6531658,0.4189750902450802,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,C. Valenciana,293225,276531,1.0,423503,437862,0.9672065627983246,510311,580728,0.8787435770274552,294339,752334,0.39123447830351943,213663,1765967,0.12098923705822362,20941,352834,0.05935085621000244,186,103049,0.0018049665693019826,1756168,4269305,0.4113475144080828,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Extremadura,77827,76005,1.0,94781,91876,1.0,124023,125297,0.9898321587907133,73611,169216,0.43501205559757944,48648,351778,0.13829176355542416,2781,76088,0.036549784460098836,71,20953,0.003388536247792679,421742,911213,0.4628358023864892,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Galicia,239507,234302,1.0,284343,289762,0.9812984449306672,323120,346927,0.9313774944008394,212721,405889,0.5240866345232317,104073,889004,0.11706696482805477,6326,152745,0.04141543094700317,43,44014,0.0009769618757668015,1170133,2362643,0.49526441362491075,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,La Rioja,23213,22207,1.0,28250,28125,1.0,35173,37718,0.9325255846015165,15498,47664,0.3251510574018127,14353,107618,0.1333698823616867,1457,21170,0.06882380727444497,10,6286,0.001590836780146357,117954,270788,0.4355953735025186,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Madrid,368338,364122,1.0,495567,526081,0.9419975250959453,616571,703323,0.8766541119798442,459570,972783,0.47242807491496047,319657,2513737,0.12716405892899696,31506,479716,0.06567635851211967,427,135861,0.0031429181295588872,2291636,5695623,0.4023503662373721,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Murcia,72785,69771,1.0,97993,102899,0.9523221800017493,124387,146909,0.84669421206325,89432,213256,0.4193645196383689,63090,551265,0.11444586541862807,7376,118667,0.06215712877211019,132,34712,0.0038027195206268728,455195,1237479,0.36784058557761384,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Navarra,42245,41166,1.0,55223,55792,0.9898014052193863,67660,73844,0.9162558907968149,52553,96694,0.5434980453802718,30024,223028,0.1346198683573363,3655,48505,0.07535305638593959,9,13906,0.0006472026463397094,251369,552935,0.454608588712959,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,País Vasco,161428,157950,1.0,208746,213081,0.9796556239176651,261729,280119,0.9343493301061334,156051,339977,0.4590045797215694,99553,724849,0.13734308800867492,12731,140323,0.09072639553031221,37,41824,0.0008846595256312165,900275,1898123,0.47429750337570326,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Ceuta,2335,2605,0.8963531669865643,3706,4318,0.8582677165354331,6247,7857,0.7950871834033346,8725,11556,0.7550190377293181,6343,30066,0.21096920109093328,435,7581,0.05738029283735655,8,2175,0.0036781609195402297,27799,66158,0.42019105777079113,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Melilla,1895,2349,0.8067262664963815,3063,3748,0.8172358591248666,6116,7827,0.7813977258208764,7757,11299,0.6865209310558457,7449,30095,0.24751619870410368,299,8536,0.03502811621368322,7,2324,0.0030120481927710845,26586,66178,0.4017347154643537,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Fuerzas Armadas,27,-,-,11,-,-,3259,-,-,8231,-,-,50320,-,-,6841,-,-,0,-,-,68689,-,-,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
26/5/21,Total España,2899364,2834024,1.0,3832991,3960045,0.9679160211563252,4711078,5336986,0.8827225703796112,3368647,7033306,0.47895641111022325,2152336,16706113,0.12883523534169797,220677,3310299,0.06666376662651924,2638,949049,0.0027796246558396877,17187731,40129822,0.42830319556363844,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210526.ods
