date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
21/4/21,Andalucía,1653300,219200,589600,2462100,2320492,0.9424848706388855,1680021,640471,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Aragón,332595,45800,92600,470995,413947,0.8788776950923046,298377,115570,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Asturias,319145,42200,71000,432345,392222,0.907196798852768,273421,118801,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Baleares,179370,24300,81400,285070,269110,0.9440137510085242,202596,66514,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Canarias,340440,47800,151600,539840,508147,0.9412918642560759,379842,128305,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Cantabria,150495,19900,40500,210895,177077,0.8396453211313687,123924,53153,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Castilla y Leon,740325,100800,166900,1008025,878223,0.8712313682696362,615747,262476,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Castilla La Mancha,469035,63800,142400,675235,583440,0.8640547364991448,407512,175928,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Cataluña,1607030,221100,541900,2370030,2142871,0.9041535339215115,1612381,530490,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,C. Valenciana,961930,131600,352300,1445830,1357860,0.9391560556911946,1023943,333917,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Extremadura,276785,36200,74000,386985,363546,0.9394317609209659,257408,106138,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Galicia,743065,98800,188300,1030165,914267,0.8874956924376192,681904,232363,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,La Rioja,78455,10200,22200,110855,101658,0.9170357674439583,74468,27190,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Madrid,1312665,179300,472500,1964465,1761839,0.8968543598384293,1298740,463099,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Murcia,292055,37700,105200,434955,360169,0.8280603740616845,252940,107229,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Navarra,148155,20100,46000,214255,197388,0.9212760495671046,139542,57846,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,País Vasco,525150,70900,154700,750750,650297,0.8661964701964702,472073,178224,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Ceuta,11340,1600,6100,19040,17947,0.942594537815126,14071,3876,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Melilla,11340,1500,6100,18940,17054,0.9004223864836325,12673,4381,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Fuerzas Armadas,19500,0,66100,85600,70255,0.8207359813084112,64620,5635,20/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
21/4/21,Totales,10172175,1372800,3371400,14916375,13497809,0.9048987438301866,9886203,3611606,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210421.ods
