date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
10/9/21,Andalucía,9306270,2019600,1805800,525450,13657120,12341490,0.903667098187612,6674320,6334932,9/9/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210910.ods
10/9/21,Aragón,1508445,275200,265100,64700,2113445,1923963,0.9103444849522935,1047129,997793,9/9/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210910.ods
10/9/21,Asturias,1200155,162000,235900,49700,1647755,1618869,0.9824694812032129,863653,826293,8/9/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210910.ods
10/9/21,Baleares,1272150,305100,256400,62400,1896050,1542010,0.813274966377469,833490,796871,9/9/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210910.ods
10/9/21,Canarias,2324760,574700,503700,133650,3536810,3055262,0.8638467997998196,1644695,1572905,9/9/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210910.ods
10/9/21,Cantabria,666465,114900,125200,24950,931515,856808,0.9198005399805693,467883,428020,9/9/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210910.ods
10/9/21,Castilla y Leon,2817075,412400,481200,112850,3823525,3609168,0.9439373353123099,1959707,1842296,9/9/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210910.ods
10/9/21,Castilla La Mancha,2280195,446800,411700,101375,3240070,2909587,0.898001277750172,1588091,1482325,9/9/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210910.ods
10/9/21,Cataluña,8368460,1604900,1514300,375750,11863410,10650862,0.8977909386930065,5776550,5505287,9/9/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210910.ods
10/9/21,C. Valenciana,5719150,1213700,863900,307250,8104000,7351728,0.9071727541954591,4010509,3786786,9/9/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210910.ods
