date_pub,ccaa,Personas pauta completa >=80 años,%,Personas pauta completa 70-79 años,%.1,Personas pauta completa 60-69 años,%.2,Personas pauta completa 50-59 años,%.3,Personas pauta completa 40-49 años,%.4.1,Personas pauta completa 25-39 años,%.4.2,18-24 años,%.5,16-17 años,%.6,Total Personas pauta completa,Total Población INE Población a Vacunar (1),% pauta completa sobre Población a Vacunar INE,source_name,source
10/6/21,Andalucía,421635,1.0,626018,0.96254041861616502,210960,0.23026872325074468,429696,0.33967499353765668,156668,0.11310837952688371,146809,0.090384770484163005,23362,0.037328671909703029,454,0.0024955887445649487,2015602,7062213,0.28540657156616489,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210610.ods
10/6/21,Aragón,98481,0.99670063861872138,114477,0.96235551258879404,46325,0.296258161888378,54699,0.27588693976778672,25964,0.12079481536965614,20863,0.090261313489659947,5507,0.061751513792330119,51,0.0020313869194614831,366367,1132764,0.3234274747431945,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210610.ods
10/6/21,Asturias,86746,0.98770295812174069,109723,1.0,32580,0.21770507577579987,63640,0.39128162562636415,23543,0.14098195732755264,18955,0.12220990058155279,4385,0.080935417781797372,41,0.002634453511533766,339613,901209,0.37684155395696228,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210610.ods
10/6/21,Baleares,49466,0.99846594808445355,74524,0.92558000894232206,10846,0.092518190580989673,49950,0.30127203749163134,20122,0.097598121956424727,18611,0.07216866628923306,2691,0.031349386642435258,40,0.0017167381974248926,226250,986279,0.22939756397530517,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210610.ods
10/6/21,Canarias,87830,0.9733365840684427,139967,0.90575353812503645,40840,0.17371922481411534,115769,0.33028541105582693,42359,0.10919406894133903,29167,0.065619466936040871,4744,0.028944654939932521,64,0.001443001443001443,460740,1871033,0.24624899721170071,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210610.ods
10/6/21,Cantabria,41476,1.0,54504,1.0,21342,0.27593251018165366,16126,0.1792494775688053,9098,0.093056081170923302,7234,0.074985488017248525,835,0.023901531415485903,7,0.00064868872208321746,150622,501384,0.30041245831538305,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210610.ods
10/6/21,Castilla y Leon,224771,1.0,244365,0.99574181981174359,114931,0.36076591069606845,89035,0.23358037646750179,39946,0.10995169348068427,34986,0.093135806412969688,6499,0.045000069241528301,113,0.0027775046701405959,754646,2092873,0.36057897445282155,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210610.ods
10/6/21,Castilla - La Mancha,134664,0.99607970767933485,153866,0.96709637274435734,51150,0.23415612239292449,104729,0.34060648241500208,32532,0.098401415586576127,21689,0.057490855113184539,4744,0.031728621303120694,102,0.002407704654895666,503476,1719964,0.29272473144786754,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210610.ods
10/6/21,Cataluña,444509,0.99399144893961489,586480,0.92316604018309689,89254,0.10656125236394201,381627,0.34954569601934454,147228,0.1118112329172853,139524,0.093837326842745608,34956,0.062834791737070295,581,0.0036343391883100636,1824159,6531658,0.27927962547947244,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210610.ods
10/6/21,C. Valenciana,288451,1.0,411793,0.94046297691966874,197194,0.33956344450413961,169425,0.22519918015136894,56065,0.06583582671432664,49449,0.054079325968772247,8216,0.023285737769035864,151,0.0014653223223903191,1180744,4269305,0.2765658579089571,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210610.ods
