date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Pfizer pediatrica,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
18/1/22,Andalucía,10959480,672000,2819500,1537200,333500,16321680,15449685.5,0.9465744641482985,7232174,6878901,2508847,17/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220118.ods
18/1/22,Aragón,1773981,96000,408490,254710,59180,2592361,2455347.0,0.9471470215760845,1134048,1070765,508129,17/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220118.ods
18/1/22,Asturias,1503185,54000,491040,220900,43000,2312125,2158592.5,0.9335967994809969,918319,871186,601694,17/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220118.ods
18/1/22,Baleares,1318884,90000,467070,225400,56420,2157774,1909393.5,0.8848904009409697,916561,874495,325412,17/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220118.ods
18/1/22,Canarias,2623110,144000,674700,455800,133650,4031260,3843539.0,0.9534336659009838,1788890,1671804,722016,17/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220118.ods
18/1/22,Cantabria,882915,42000,170400,120490,22145,1237950,1163890.5,0.940175693687144,513869,486567,266599,17/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220118.ods
18/1/22,Castilla y Leon,3987903,144000,611570,466170,95310,5304953,4959680.5,0.9349150689930712,2124019,2001807,1162030,17/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220118.ods
18/1/22,Castilla La Mancha,2648745,156000,841270,382100,93735,4121850,3685941.0,0.8942443320353725,1730755,1597402,777780,17/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220118.ods
18/1/22,Cataluña,8573438,600000,3208880,1485670,355800,14223788,13385014.5,0.9410302304843127,6410384,6055305,2884919,17/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220118.ods
18/1/22,C. Valenciana,6538150,582000,2043650,863900,213125,10240825,9289342.0,0.9070892237685929,4321324,4085002,1915091,17/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220118.ods
