date_pub,ccaa,Personas con al menos 1 dosis >=80 años,Población INE>=80 años,%,Personas con al menos 1 dosis 70-79 años,Población INE70-79 años,%.1,Personas con al menos 1 dosis 60-69 años,Población INE60-69 años,%.2,Personas con al menos 1 dosis 50-59 años,Población INE50-59 años,%.3,Personas con al menos 1 dosis 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas con al menos 1 dosis,Total Población INE Población a Vacunar (1),% Con al menos 1 dosis sobre Población a Vacunar INE,source_name,source
27/4/21,Andalucía,423029,413516,1.0230051557859914,504030,650381,0.7749765137665461,421794,916147,0.46039991398760244,151275,1265021,0.11958299506490407,336014,3009381,0.11165551985607672,29320,625846,0.04684858575432295,327,181921,0.0017974835230677051,1865789,7062213,0.26419324933983157,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,Aragón,98913,98807,1.0010727984859373,89575,118955,0.7530158463284435,70364,156367,0.4499926455070443,27719,198266,0.13980712779800875,51254,446083,0.11489790016656093,5843,89180,0.06551917470284817,34,25106,0.0013542579463076555,343702,1132764,0.30341889396202565,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,Asturias ,86600,87826,0.9860405802381983,79396,109249,0.7267434942196267,74417,149652,0.49726699275652847,25200,162645,0.1549386701097482,38832,322095,0.1205607041400829,3755,54179,0.06930729618486868,36,15563,0.0023131786930540386,308236,901209,0.34202499087337124,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,Baleares,48658,49542,0.9821565540349603,52119,80516,0.647312335436435,58542,117231,0.4993730327302505,21107,165797,0.12730628419090817,43172,464054,0.09303227641610674,3745,85839,0.043628187653630635,33,23300,0.0014163090128755365,227376,986279,0.23053922875778557,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,Canarias,85591,90236,0.9485238707389512,103570,154531,0.6702215089528962,135609,235092,0.5768337501914145,30224,350512,0.08622814625462182,68355,832411,0.08211688697049895,6045,163899,0.036882470301832226,51,44352,0.001149891774891775,429445,1871033,0.2295229426739133,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,Cantabria,40489,41042,0.9865259977583939,39461,53066,0.7436211510194851,28814,77345,0.37253862563837353,11641,89964,0.12939620292561468,23096,194241,0.11890383595636349,1600,34935,0.045799341634464,5,10791,0.0004633490872022982,145106,501384,0.28941091059946067,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,Castilla y Leon,225439,223657,1.0079675574652258,178026,245410,0.7254227619086426,135552,318575,0.42549478144863845,57160,381175,0.14995736866268775,89619,738950,0.12127884159956695,7915,144422,0.05480466964866849,100,40684,0.0024579687346376953,693811,2092873,0.33151127660397933,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,Castilla - La Mancha,134951,135194,0.9982025829548649,107455,159101,0.6753885896380287,97853,218444,0.44795462452619433,46645,307478,0.15170191038058006,76330,707865,0.10783129551538782,6245,149518,0.04176754638237536,99,42364,0.002336889812104617,469578,1719964,0.2730161794084062,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,Cataluña,442357,447196,0.9891792413170064,343157,635292,0.5401563375581623,478019,837584,0.570711713690806,138820,1091780,0.12715015845683197,301704,2803626,0.10761207093956184,37176,556316,0.06682532948899546,366,159864,0.002289446029124756,1741599,6531658,0.26663964953462044,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,C. Valenciana,288273,276531,1.0424617854779392,274494,437862,0.6268961453608671,239440,580728,0.4123100659861415,93380,752334,0.12412040396951354,202632,1765967,0.11474280096966705,17846,352834,0.05057902583084397,124,103049,0.0012033110462013217,1116189,4269305,0.2614451298279228,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,Extremadura,77027,76005,1.0134464837839616,74070,91876,0.80619530671775,63451,125297,0.5064047822374039,24106,169216,0.1424569780635401,43029,351778,0.12231862140327138,2309,76088,0.030346440963095363,56,20953,0.002672648308118169,284048,911213,0.31172514000568474,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,Galicia,232372,234302,0.9917627677100495,218233,289762,0.753145685079479,122664,346927,0.3535729418580854,66720,405889,0.16437991667672688,97568,889004,0.10974978740253137,5197,152745,0.03402402697305967,38,44014,0.0008633616576543827,742792,2362643,0.3143902824083029,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
27/4/21,La Rioja,22777,22207,1.0256675822938712,23738,28125,0.8440177777777778,17911,37718,0.4748661116708203,6881,47664,0.14436471970459885,13208,107618,0.12273039826051405,1307,21170,0.061738308927727914,9,6286,0.0014317531021317213,85831,270788,0.3169675170243881,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210427.ods
