date_pub,ccaa,Personas pauta completa ≥80 años,Población INE≥80 años,%,Personas pauta completa 70-79 años,Población INE70-79 años,%.1,Personas pauta completa 60-69 años,Población INE60-69 años,%.2,Personas pauta completa 50-59 años,Población INE50-59 años,%.3,Personas pauta completa 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas pauta completa,Total Población INE Población a Vacunar (1),% pauta completa sobre Población a Vacunar INE,source_name,source
5/4/21,Andalucía,253172,413516,0.612242331614738,13475,650381,0.020718624929080033,42029,916147,0.04587582560440628,70857,1265021,0.05601250888325174,130617,3009381,0.04340327794985081,11808,625846,0.018867261275137975,83,181921,0.0004562419951517417,522041,7062213,0.07392031364672802,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210405.ods
5/4/21,Aragón,47308,98807,0.4787919884218729,3171,118955,0.026657139254339875,9378,156367,0.059974291250711464,13951,198266,0.07036506511454309,21543,446083,0.048293703189765134,1436,89180,0.016102265081856918,25,25106,0.0009957779016968055,96812,1132764,0.0854652866793083,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210405.ods
5/4/21,Asturias ,42525,87826,0.4841960239564594,3594,109249,0.03289732629131617,9870,149652,0.06595301098548632,13542,162645,0.0832610901042147,20914,322095,0.06493115385212438,2324,54179,0.0428948485575592,25,15563,0.0016063740923986378,92794,901209,0.10296612661435915,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210405.ods
5/4/21,Baleares,16073,49542,0.32443179524443905,2113,80516,0.026243231159024293,4915,117231,0.041925770487328436,7585,165797,0.04574871680428476,17406,464054,0.03750856581346136,1232,85839,0.014352450517829891,30,23300,0.0012875536480686696,49354,986279,0.0500406071709932,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210405.ods
5/4/21,Canarias,33676,90236,0.3731991666297265,12906,154531,0.08351722308145292,9124,235092,0.03881033808041107,16904,350512,0.04822659423928425,34223,832411,0.04111310398348893,2360,163899,0.014399111648027138,19,44352,0.0004283910533910534,109212,1871033,0.05836989513279563,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210405.ods
5/4/21,Cantabria,22902,41042,0.5580137420203694,1667,53066,0.031413711227527986,3712,77345,0.047992759712974335,5528,89964,0.061446800942599265,10407,194241,0.053577771943101614,595,34935,0.0170316301703163,3,10791,0.00027800945232137893,44814,501384,0.08938059451438418,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210405.ods
5/4/21,Castilla y Leon,105646,223657,0.47235722557308735,9128,245410,0.03719489833340125,19865,318575,0.06235580318606294,29714,381175,0.07795369580901161,41320,738950,0.05591717978212328,2583,144422,0.017885086759634957,82,40684,0.0020155343624029104,208338,2092873,0.09954641299304831,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210405.ods
5/4/21,Castilla - La Mancha,54253,135194,0.40129739485480126,5274,159101,0.03314875456471047,13182,218444,0.06034498544249327,21676,307478,0.07049610053402194,33458,707865,0.04726607474589081,3279,149518,0.021930469909977393,78,42364,0.001841185912567274,131200,1719964,0.07628066633952804,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210405.ods
5/4/21,Cataluña,158522,447196,0.3544799148471811,26519,635292,0.04174300951373541,47243,837584,0.056403895012321154,66144,1091780,0.06058363406547106,125432,2803626,0.0447392055859091,15765,556316,0.028338210657252352,192,159864,0.001201020867737577,439817,6531658,0.067336195495845,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210405.ods
5/4/21,C. Valenciana,123996,276531,0.44839819043796175,9950,437862,0.022724054610813452,23008,580728,0.03961923654447521,33286,752334,0.04424364710354709,67423,1765967,0.03817908262158919,5106,352834,0.014471394480123797,91,103049,0.0008830750419703248,262860,4269305,0.06156974027388533,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210405.ods
