date_pub,ccaa,Personas pauta completa >=80 años,%,Personas pauta completa 70-79 años,%.1,Personas pauta completa 60-69 años,%.2,Personas pauta completa 50-59 años,%.3,Personas pauta completa 40-49 años,%.4.1,Personas pauta completa 25-39 años,%.4.2,18-24 años,%.5,16-17 años,%.6,Total Personas pauta completa,Total Población INE Población a Vacunar (1),% pauta completa sobre Población a Vacunar INE,source_name,source
4/6/21,Andalucía,420793,1.0,618260,0.951,193285,0.211,264106,0.209,133603,0.096,129009,0.079,20786,0.033,414,0.002,1780256,7062213,0.252,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210604.pdf
4/6/21,Aragón,98295,0.995,113037,0.95,40440,0.259,28428,0.143,15188,0.071,15147,0.066,3769,0.042,43,0.002,314347,1132764,0.278,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210604.pdf
4/6/21,Asturias,86496,0.985,108478,0.993,29216,0.195,39853,0.245,19523,0.117,16188,0.104,4025,0.074,41,0.003,303820,901209,0.337,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210604.pdf
4/6/21,Baleares,49089,0.991,71363,0.886,7084,0.06,20869,0.126,11082,0.054,12853,0.05,1794,0.021,36,0.002,174170,986279,0.177,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210604.pdf
4/6/21,Canarias,87190,0.966,136449,0.883,25684,0.109,69096,0.197,25794,0.066,23298,0.052,3516,0.021,62,0.001,371089,1871033,0.198,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210604.pdf
4/6/21,Cantabria,41402,1.0,54129,1.0,18323,0.237,10124,0.113,6604,0.068,6574,0.068,780,0.022,7,0.001,137943,501384,0.275,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210604.pdf
4/6/21,Castilla y Leon,224463,1.0,242982,0.99,98319,0.309,55909,0.147,31721,0.087,29047,0.077,4494,0.031,109,0.003,687044,2092873,0.328,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210604.pdf
4/6/21,Castilla - La Mancha,134399,0.994,152256,0.957,45046,0.206,63456,0.206,23189,0.07,20319,0.054,4530,0.03,101,0.002,443296,1719964,0.258,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210604.pdf
4/6/21,Cataluña,443099,0.991,569935,0.897,82113,0.098,223744,0.205,119324,0.091,115006,0.077,28625,0.051,457,0.003,1582303,6531658,0.242,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210604.pdf
4/6/21,C. Valenciana,287811,1.0,403059,0.921,161639,0.278,95656,0.127,38913,0.046,40847,0.045,6477,0.018,149,0.001,1034551,4269305,0.242,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210604.pdf
