date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
7/4/21,Andalucía,1283580,168000,564800,2016380,1622189,0.8045055991430187,1093523,528666,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Aragón,250695,35300,88700,374695,276558,0.7380883118269526,178668,97890,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Asturias,241925,32700,68000,342625,264498,0.7719751915359357,169720,94778,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Baleares,136080,18000,78000,232080,181442,0.7818079972423302,130499,50943,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Canarias,276090,35800,145200,457090,339311,0.7423286442494913,229083,110228,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Cantabria,115395,15300,38800,169495,127290,0.750995604590106,82329,44961,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Castilla y Leon,555465,78300,159900,793665,610573,0.769308209383052,390292,220281,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Castilla La Mancha,356715,49600,136400,542715,423319,0.7800023953640493,284704,138615,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Cataluña,1220930,168400,519100,1908430,1504694,0.788446000115278,1062206,442488,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,C. Valenciana,711550,96800,337500,1145850,926076,0.8082000261814374,663216,262860,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Extremadura,211265,28100,70900,310265,254867,0.8214494061528048,174704,80163,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Galicia,532465,73600,180300,786365,584849,0.7437373229988619,408648,176201,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,La Rioja,50375,7800,21300,79475,71782,0.9032022648631646,47525,24257,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Madrid,996765,136100,452500,1585365,1239223,0.7816641593576242,831687,407536,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Murcia,228875,29400,100800,359075,264263,0.7359548840771427,173403,90860,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Navarra,113055,15400,44100,172555,137093,0.7944887137434441,93293,43800,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,País Vasco,314550,52900,148200,515650,445819,0.8645767477940464,329676,116143,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Ceuta,9000,1300,5800,16100,14358,0.8918012422360249,10719,3639,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Melilla,9000,1200,5800,16000,11582,0.723875,9092,2490,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Fuerzas Armadas,19500,0,66100,85600,58061,0.6782827102803738,53029,5032,6/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
7/4/21,Totales,7633275,1044000,3232200,11909475,9357847,0.7857480703389528,6416016,2941831,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210407.ods
