date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Pfizer pediatrica,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
7/2/22,Andalucía,11145510,768000,3319500,1537200,333500,17103710,16438368.0,0.9610995509161463,7428402,6906515,3614029,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Aragón,1805571,108000,468390,254710,59180,2695851,2559661.5,0.9494818148332382,1142766,1074406,639216,5/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Asturias,1532435,66000,516040,220900,43000,2378375,2229841.5,0.9375483260629631,923489,872822,694994,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Baleares,1318884,102000,542970,225400,56520,2245774,1979861.0,0.8815940517612191,923834,879827,429695,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Canarias,2671080,162000,824700,455800,133650,4247230,3992027.5,0.9399131904794419,1807162,1681556,890131,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Cantabria,898125,48000,175400,120490,22145,1264160,1212139.5,0.9588497500316415,516057,488582,326436,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Castilla y Leon,3987903,168000,691970,466170,95315,5409358,5136753.0,0.9496049253904068,2136338,2008147,1385535,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Castilla La Mancha,2694375,180000,840660,380370,92350,4187755,3790984.0,0.9052544859954796,1750615,1593880,906670,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Cataluña,8673200,690000,3508880,1485670,355800,14713550,13733102.0,0.9333642798644787,6456463,6090018,3379307,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,C. Valenciana,6558040,642000,2112740,863900,213125,10389805,9691210.5,0.9327615388354257,4389888,4097773,2549154,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Extremadura,1554323,84000,307170,182600,40185,2168278,2199752.0,1.0,958110,895910,553858,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Galicia,4029019,186000,969980,571870,122515,5879384,5949058.0,1.0,2464450,2320887,1881381,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,La Rioja,447005,30000,109600,53240,15200,655045,612559.0,0.9351403338701921,281827,261628,146740,4/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Madrid,8746845,390000,2170800,1222100,321450,12851195,12669396.0,0.9858535334651758,5743236,5373099,3010614,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Murcia,1722965,150000,623000,253010,68300,2817275,2713177.0,0.9630501104790977,1296106,1200691,622197,5/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Navarra,873147,60000,274760,135150,23710,1366767,1258083.5,0.920481325639264,564520,533412,314512,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,País Vasco,2998530,180000,817900,444200,101305,4541935,4285299.0,0.9434963292077055,1938155,1827376,1109059,6/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Ceuta,101274,12000,28910,18100,3935,164219,146702.5,0.8933345106230095,69169,63532,29408,5/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Melilla,100260,12000,23500,15100,5750,156610,134397.0,0.8581635910861375,64814,59343,25251,4/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Fuerzas Armadas,48426,0,58300,103800,2000,212526,199141.0,0.9370194705588963,94945,90897,38152,5/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Sanidad Exterior,0,0,7530,0,4690,12220,11860.5,0.970581014729951,7966,7483,2311,4/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
7/2/22,Totales,61906917,4038000,18392700,9009780,2113625,95461022,90943374.0,0.9526754699944444,40958312,38327784,22548650,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220207.ods
