date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
15/4/21,Andalucía,1468440,219200,564800,2252440,2041844,0.9065031698957575,1481837,560007,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Aragón,291645,45800,88700,426145,347963,0.8165366248577363,243497,104466,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Asturias,280535,42200,68000,390735,330038,0.8446594239062281,225213,104825,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Baleares,158310,24300,81400,264010,240488,0.9109048899662892,180775,59713,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Canarias,319380,47800,145200,512380,435235,0.8494379171708497,318355,116880,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Cantabria,132945,19900,40500,193345,153430,0.7935555613023352,106261,47169,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Castilla y Leon,647895,100800,166900,915595,754667,0.8242366985402935,512416,242251,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Castilla La Mancha,412875,63800,142400,619075,519478,0.8391196543229819,359628,159850,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Cataluña,1413980,221100,519100,2154180,1922213,0.8923177264666834,1452114,470099,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,C. Valenciana,836740,131600,352300,1320640,1194050,0.9041449600193845,896713,297337,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Extremadura,244025,36200,70900,351125,327974,0.934066215735137,232552,95422,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Galicia,637765,98800,180300,916865,803159,0.8759839234783747,600339,202820,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,La Rioja,69095,10200,21300,100595,89433,0.889040210746061,63613,25820,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Madrid,1154715,179300,452500,1786515,1563931,0.8754088266821157,1123480,440451,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Murcia,260465,37700,100800,398965,300425,0.7530109157444889,199316,101109,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Navarra,130605,20100,44100,194805,171777,0.8817894817894818,119806,51971,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,País Vasco,454950,70900,148200,674050,587349,0.8713730435427639,427256,160093,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Ceuta,10170,1600,5800,17570,17103,0.9734206033010814,13321,3782,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Melilla,10170,1200,5800,17170,15028,0.8752475247524752,10968,4060,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Fuerzas Armadas,19500,0,66100,85600,69500,0.8119158878504673,64088,5412,14/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
15/4/21,Totales,8954205,1372500,3265100,13591805,11885085,0.8744302173258077,8631548,3253537,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210415.ods
