date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
19/10/21,Andalucía,9434970,2019500,1528900,333500,13316870,12809353,0.9618891676497555,6816142,6666861,48182,17/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Aragón,1531845,275200,265100,64700,2136845,1997715,0.9348899896810484,1064114,1043863,16495,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Asturias,1224725,162000,220900,43000,1650625,1673535,1.0138795910639908,872976,863505,11137,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Baleares,1272150,305100,256400,57600,1891250,1599599,0.84578929279577,853451,835539,4911,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Canarias,2358690,574700,455800,133650,3522840,3138641,0.8909405479669812,1669825,1627600,12041,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Cantabria,727305,114900,125200,22200,989605,918285,0.9279308410931635,481238,474532,6878,17/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Castilla y Leon,2916525,412400,481200,102200,3912325,3790181,0.968779689826382,1997738,1958015,62850,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Castilla La Mancha,2330505,446800,394900,95075,3267280,3018987,0.9240062069978698,1615027,1552095,20176,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Cataluña,8368460,1604900,1514300,375750,11863410,11108023,0.9363263176439152,5946142,5808125,63105,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,C. Valenciana,5797540,1213650,863900,213450,8088540,7639679,0.9445065487714718,4065623,3994563,35935,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Extremadura,1226825,218200,186000,51750,1682775,1704060,1.0126487498328653,896008,881044,16828,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Galicia,3155029,507400,573400,122700,4358529,4402750,1.0101458542549562,2306221,2282362,24336,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,La Rioja,374465,67600,53300,15200,510565,480367,0.9408537600501405,259219,253779,2880,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Madrid,7637679,1645800,1220900,321450,10825829,9837452,0.9087019571434206,5318306,5194422,45488,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Murcia,1687865,398000,253010,68300,2407175,2217038,0.9210123900422694,1186177,1150916,5310,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Navarra,734325,151500,136600,23750,1046175,980364,0.9370936984730088,526654,519441,3143,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,País Vasco,2597220,526100,444200,101300,3668820,3360989,0.9160953658124411,1807469,1774787,13364,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Ceuta,95580,22400,18100,4150,140230,113737,0.8110746630535549,62268,59125,420,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Melilla,96750,23500,15100,5750,141100,101768,0.7212473423104181,57052,54520,202,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Fuerzas Armadas,48138,58300,103800,2000,212238,172951,0.8148917724441429,92817,86697,0,14/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Sanidad Exterior,0,4910,0,4085,8995,6787,0.7545302946081156,5092,4837,0,18/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
19/10/21,Totales,53616591,10752860,9111010,2161560,75642021,71072261,0.9395870187022105,37899559,37086628,393681,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211019.ods
