date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
20/5/21,Andalucía,2768310,392000,1007500,73250,4241060,3998361,0.9427739763172415,2742890,1296470,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Aragón,544365,75900,158300,11400,789965,737369,0.9334198350559835,485547,259683,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Asturias,502835,67000,121400,8850,700085,681996,0.9741617089353436,443444,244715,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Baleares,315090,47200,139300,10100,511690,463768,0.9063456389610898,330407,139965,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Canarias,631770,90700,259000,18800,1000270,861664,0.8614314135183501,598828,278022,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Cantabria,241755,33100,69300,4900,349055,318056,0.9111916460156709,212435,108988,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Castilla y Leon,1173225,159600,285100,20800,1638725,1487806,0.9079046209705717,947300,557145,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Castilla La Mancha,761535,107800,242500,17700,1129535,1045725,0.9258013253241378,709172,348337,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Cataluña,2713850,386700,926100,67300,4093950,3677104,0.8981799973131084,2586988,1123529,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,C. Valenciana,1693180,239900,601900,43700,2578680,2359667,0.9150677866195107,1626128,764907,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Extremadura,440585,59800,126500,9200,636085,600826,0.9445687290220647,396170,210047,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Galicia,1232125,165000,321700,23450,1742275,1679867,0.9641801667360205,1111174,581969,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,La Rioja,127595,17400,37800,2800,185595,171149,0.9221638513968587,112369,61391,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Madrid,2235795,320200,807300,58600,3421895,3108348,0.9083703620362401,2139916,992121,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Murcia,478085,67500,179800,13050,738435,624342,0.8454935099230129,421907,207053,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Navarra,244095,34500,78700,5750,363045,347979,0.9585010122712061,234688,118837,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,País Vasco,885510,121800,264300,19250,1290860,1199412,0.9291573059820585,835538,378271,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Ceuta,20700,3200,10600,750,35250,32187,0.9131063829787234,24310,8539,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Melilla,20700,3100,10600,750,35150,29595,0.8419630156472262,22354,7713,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Fuerzas Armadas,21840,3400,66100,0,91340,77864,0.8524633238449748,68278,9586,19/5/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
20/5/21,Totales,17052945,2395800,5713800,410400,25572945,23503085,0.9190605540347426,16049843,7697288,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210520.ods
