date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
3/11/21,Andalucía,9884250,2019500,1528900,333500,13766150,13134592,0.9541223944240038,6848946,6744085,293258,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,Aragón,1517367,269550,264060,63815,2114792,2011756,0.9512784235991057,1067254,1048207,23955,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,Asturias,1224725,162000,220900,43000,1650625,1701799,1.0310028019689512,873838,865758,36855,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,Baleares,1272150,305100,256400,57600,1891250,1611567,0.8521173826834104,858327,841565,7088,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,Canarias,2358690,574700,455800,133650,3522840,3172945,0.9006781460412622,1680465,1641288,24093,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,Cantabria,727305,114900,125200,22200,989605,931368,0.9411512674248816,482690,477033,16320,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,Castilla y Leon,3274545,411830,481200,101025,4268600,3801220,0.8905074263224476,2004006,1965037,62850,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,Castilla La Mancha,2330505,446800,396400,95075,3268780,3042029,0.9306313058694681,1619666,1562391,33374,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,Cataluña,8368460,1604900,1514300,375750,11863410,11264757,0.9495378647454653,5980492,5854659,152018,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,C. Valenciana,5797540,1213650,863900,213450,8088540,7750128,0.9581615470777174,4076683,4011525,121003,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,Extremadura,1277135,218200,186000,51750,1733085,1768369,1.0203590706745487,898273,884168,76831,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,Galicia,3255649,527400,573400,122700,4479149,4479671,1.000116539994539,2309836,2289063,91787,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
3/11/21,La Rioja,374465,67600,53300,15200,510565,485417,0.9507447631545445,260466,255269,5430,2/11/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211103.ods
