date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
23/7/21,Andalucía,6419880,1011000,1805800,476000,9712680,9581359,0.9864794268935042,5361032,4475153,22/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210723.ods
23/7/21,Aragón,1118835,153300,285700,56900,1614735,1544493,0.956499363672677,892007,737793,22/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210723.ods
23/7/21,Asturias,940415,126400,235900,43750,1346465,1341629,0.9964083730360611,727397,659171,22/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210723.ods
23/7/21,Baleares,860310,155000,256400,55550,1327260,1227186,0.9246010578183627,712457,583007,22/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210723.ods
23/7/21,Canarias,1600530,264700,503700,120900,2489830,2329684,0.935679946020411,1358014,1094136,22/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210723.ods
23/7/21,Cantabria,493305,67300,130200,24950,715755,674442,0.9422805289519458,373205,321805,22/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210723.ods
23/7/21,Castilla y Leon,2202825,305000,514400,102850,3125075,2929743,0.9374952601137573,1638358,1431776,22/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210723.ods
23/7/21,Castilla La Mancha,1643715,240500,460900,89425,2434540,2315442,0.951079875459019,1331159,1057181,22/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210723.ods
23/7/21,Cataluña,6056540,895800,1698100,394000,9044440,8563950,0.9468745439186949,4840273,4163252,22/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210723.ods
23/7/21,C. Valenciana,3867040,573000,1009800,307250,5757090,5454018,0.9473567375184337,3081460,2560969,22/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210723.ods
