date_pub,ccaa,Fecha de la ultima vacuna registrada,Dosis entregadas,Dosis administradas,% sobre entregadas,source_name,source
13/1/21,Andalucía,12/1/21,209520,109831,0.5242029400534555,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Aragón,12/1/21,35415,17043,0.4812367640830157,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Asturias,13/1/21,35420,25278,0.7136645962732919,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Baleares,12/1/21,12840,4931,0.38403426791277256,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Canarias,13/1/22,41310,22290,0.5395787944807553,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Cantabria,13/1/21,17700,11302,0.6385310734463276,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Castilla y Leon,12/1/21,76740,48243,0.6286551993745113,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Castilla La Mancha,13/1/21,53100,26879,0.506195856873823,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Cataluña,12/1/21,180020,92133,0.5117931340962115,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,C. Valenciana,13/1/21,91450,70870,0.7749589939857846,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Extremadura,12/1/21,32450,14293,0.44046224961479197,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Galicia,13/1/21,56080,37745,0.6730563480741797,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,La Rioja,12/1/21,8840,4651,0.526131221719457,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Madrid,13/1/21,147540,49228,0.33365866883557,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Murcia,13/1/21,38360,19905,0.5188998957247133,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Navarra,12/1/21,17700,7420,0.4192090395480226,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,País Vasco,12/1/21,47205,17771,0.3764643575892384,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Ceuta,12/1/21,1005,820,0.8159203980099502,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Melilla,12/1/21,1005,1005,1.0,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
13/1/21,Totales,,1103700,581638,0.5269892180846244,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210113.ods
