date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Pfizer pediatrica,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
21/2/22,Andalucía,11421630,966000,3319500,1537200,333500,17577830,16762469.0,0.953614240210538,7444500,7030553,3914135,20/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220221.ods
21/2/22,Aragón,1853541,138000,477490,254710,59180,2782921,2590826.0,0.930973606509132,1144656,1090943,664561,19/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220221.ods
21/2/22,Asturias,1575725,102000,516040,220900,43000,2457665,2246442.5,0.9140556178323734,924319,884702,705170,20/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220221.ods
21/2/22,Baleares,1318884,114000,542970,225400,56520,2257774,1993797.0,0.8830808575171829,925221,886767,444069,20/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220221.ods
21/2/22,Canarias,2742450,204000,824700,455800,133650,4360600,4039577.0,0.9263810026143191,1810768,1700311,928738,20/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220221.ods
21/2/22,Cantabria,920355,54000,175400,120490,22145,1292390,1233724.5,0.9546069684847454,517267,494990,342917,17/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220221.ods
21/2/22,Castilla y Leon,4086183,258000,753070,466170,95315,5658738,5206964.0,0.9201634710778269,2139471,2043330,1457428,20/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220221.ods
21/2/22,Castilla La Mancha,2763405,234000,840660,380370,92350,4310785,3867017.0,0.8970563366069058,1755818,1639656,994484,20/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220221.ods
21/2/22,Cataluña,8673200,690000,3508880,1485670,355800,14713550,13851511.0,0.9414118958375103,6466698,6159720,3524555,20/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220221.ods
21/2/22,C. Valenciana,6947650,912000,2144540,863900,213125,11081215,9825026.5,0.886638017582007,4404413,4128269,2772304,19/2/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220221.ods
