date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas,Dosis administradas,% sobre entregadas,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
24/2/21,Andalucía,662310,36300,144200,842810,653919,0.7758794983448227,218967,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Aragón,112635,6300,22600,141535,115419,0.8154802698979051,44195,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Asturias,112055,6300,17400,135755,104014,0.7661890906412286,38423,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Baleares,56520,3200,19900,79620,54156,0.680180859080633,20576,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Canarias,129840,7000,37100,173940,127794,0.7347016212487064,50067,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Cantabria,55725,2900,9900,68525,51298,0.7486026997446188,19963,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Castilla y Leon,246585,13500,40800,300885,229483,0.7626933878392077,87344,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Castilla La Mancha,167175,9200,34800,211175,150359,0.7120113649816503,64920,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Cataluña,570410,31400,132700,734510,531016,0.7229527167771712,183354,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,C. Valenciana,288010,15700,86200,389910,286962,0.7359698391936601,100209,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Extremadura,102455,5400,18100,125955,98839,0.7847167639236236,38366,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Galicia,179125,9800,46100,235025,179141,0.7622210403148602,58239,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,La Rioja,28145,1400,5400,34945,25411,0.7271712691372156,9193,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Madrid,464415,25400,115600,605415,385692,0.6370704392854488,170589,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Murcia,121235,6600,25700,153535,110564,0.7201224476503729,48528,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Navarra,55725,2900,11200,69825,53145,0.7611170784103115,20422,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,País Vasco,148410,7900,37900,194210,117427,0.6046393079656043,45475,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Ceuta,4320,400,1500,6220,5705,0.9172025723472669,1087,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Melilla,3150,400,1500,5050,4334,0.8582178217821782,1266,23/2/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
24/2/21,Totales,3508245,192000,808600,4508845,3284678,0.7284965440151524,1221183,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210224.ods
