date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas,Dosis administradas,% sobre entregadas,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
30/3/21,Andalucía,999270,111200,361600,1472070,1400384,0.951302587512822,504413,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Aragón,187515,21700,56800,266015,241002,0.9059714677743737,85878,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Asturias,182255,20700,43600,246555,216223,0.8769767394698952,82779,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Baleares,99810,11100,49900,160810,154339,0.959759965176295,44332,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Canarias,209400,22900,93000,325300,292317,0.8986074392868122,100644,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Cantabria,88485,9700,24800,122985,109864,0.8933121925438061,43235,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Castilla y Leon,413895,47700,102400,563995,507762,0.9002952153831151,188388,28/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Castilla La Mancha,270135,31000,87400,388535,340556,0.8765130554518898,117527,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Cataluña,923750,105400,332500,1361650,1219567,0.8956538023721221,413857,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,C. Valenciana,518500,57800,216100,792400,742020,0.9364209994952044,246023,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Extremadura,160955,17800,45400,224155,209542,0.9348085030447681,73603,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Galicia,369835,41400,115500,526735,462010,0.8771203736224098,147802,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,La Rioja,45695,4800,13600,64095,61733,0.963148451517279,20528,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Madrid,753405,85200,289800,1128405,1026074,0.9093135886494654,342872,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Murcia,179735,19800,64500,264035,227530,0.8617418145321643,83687,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Navarra,86145,9700,28200,124045,114802,0.9254867185295659,36342,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,País Vasco,275940,30800,94900,401640,361382,0.8997659595657803,101299,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Ceuta,6660,900,3700,11260,11142,0.9895204262877443,3600,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Melilla,6660,800,3700,11160,10297,0.9226702508960574,2419,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Fuerzas Armadas,19500,0,33100,52600,28065,0.5335551330798479,4848,29/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
30/3/21,Totales,5797545,650400,2060500,8508445,7736611,0.909286126900979,2644076,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210330.ods
