date_pub,ccaa,Personas pauta completa ≥80 años,Población INE≥80 años,%,Personas pauta completa 70-79 años,Población INE70-79 años,%.1,Personas pauta completa 60-69 años,Población INE60-69 años,%.2,Personas pauta completa 50-59 años,Población INE50-59 años,%.3,Personas pauta completa 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas pauta completa,Total Población INE Población a Vacunar (1),% pauta completa sobre Población a Vacunar INE,source_name,source
1/4/21,Andalucía,246229,413516,0.5954521711372716,13404,650381,0.020609458148377644,41934,916147,0.045772130455047064,70731,1265021,0.05591290579365876,130472,3009381,0.04335509528371449,11779,625846,0.018820923997277285,83,181921,0.0004562419951517417,514632,7062213,0.07287120906718617,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Aragón,44314,98807,0.4484904915643628,3135,118955,0.02635450380395948,9329,156367,0.059660925898687066,13907,198266,0.07014314103275397,21487,446083,0.04816816601394808,1430,89180,0.016034985422740525,25,25106,0.0009957779016968055,93627,1132764,0.08265358009258769,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Asturias ,39438,87826,0.44904697925443493,3575,109249,0.032723411655941934,9848,149652,0.06580600326089862,13510,162645,0.08306434258661502,20890,322095,0.06485664167404026,2318,54179,0.042784104542350355,25,15563,0.0016063740923986378,89604,901209,0.09942643715275813,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Baleares,12403,49542,0.2503532356384482,2088,80516,0.025932733866560684,4856,117231,0.04142249063814179,7551,165797,0.0455436467487349,17352,464054,0.03739220004568434,1229,85839,0.014317501368841669,30,23300,0.0012875536480686696,45509,986279,0.04614211597326923,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Canarias,33459,90236,0.370794361452192,12535,154531,0.08111641029955155,9116,235092,0.03877630884930155,16900,350512,0.04821518236180217,34207,832411,0.041093882709382745,2357,163899,0.01438080769254236,19,44352,0.0004283910533910534,108593,1871033,0.058039061844446356,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Cantabria,22177,41042,0.5403489108717898,1660,53066,0.03128180002261335,3704,77345,0.04788932704117913,5521,89964,0.06136899204126095,10397,194241,0.053526289506334916,594,34935,0.017003005581794763,3,10791,0.00027800945232137893,44056,501384,0.08786877921912147,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Castilla y Leon,104815,223657,0.46864171476859656,9036,245410,0.03682001548429159,19853,318575,0.06231813544691203,29702,381175,0.07792221420607333,41296,738950,0.05588470126530888,2580,144422,0.017864314301145254,82,40684,0.0020155343624029104,207364,2092873,0.09908102402773604,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Castilla - La Mancha,46971,135194,0.34743405772445524,5152,159101,0.03238194605942137,12955,218444,0.059305817509293,21394,307478,0.06957896174685668,33077,707865,0.04672783652250076,3231,149518,0.021609438328495566,74,42364,0.0017467661221792087,122854,1719964,0.0714282391957041,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Cataluña,152848,447196,0.34179196593887246,25780,635292,0.04057976489551261,46438,837584,0.05544279737912854,65673,1091780,0.06015222847093737,124909,2803626,0.044552661446284204,15671,556316,0.028169241941630296,190,159864,0.0011885102336986438,431509,6531658,0.06606423667620075,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,C. Valenciana,119347,276531,0.4315863320929661,9679,437862,0.022105138148549086,22735,580728,0.039149136945351354,33082,752334,0.043972490941523314,67131,1765967,0.03801373411847447,5084,352834,0.014409042212485191,85,103049,0.0008248503139283254,257143,4269305,0.060230646440111446,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Extremadura,34308,76005,0.4513913558318532,2994,91876,0.03258740040924725,7157,125297,0.0571202822094703,12197,169216,0.0720794723903177,19124,351778,0.05436383173478728,878,76088,0.011539270318578487,35,20953,0.0016704051925738558,76693,911213,0.08416583169906487,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Galicia,80475,234302,0.3434669785149081,3872,289762,0.013362690760003036,15895,346927,0.04581655506778083,22957,405889,0.05655979836851947,37764,889004,0.04247899896963343,1431,152745,0.009368555435529804,3,44014,6.816013086745126e-05,162397,2362643,0.06873531041295701,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
