date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
6/4/21,Andalucía,1283580,168000,564800,2016380,1557660,0.7725031988018132,1032500,525160,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Aragón,250695,35300,88700,374695,270285,0.7213466953121872,173380,96905,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Asturias,241925,32700,68000,342625,255449,0.7455643925574608,162021,93428,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Baleares,136080,18000,78000,232080,176500,0.7605136159944846,127067,49433,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Canarias,276090,35800,145200,457090,329689,0.7212780852786104,219461,110228,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Cantabria,115395,15300,38800,169495,122107,0.7204165314611051,77246,44861,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Castilla y Leon,555465,78300,159900,793665,590123,0.7435416706040961,376470,213653,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Castilla La Mancha,356715,49600,136400,542715,406226,0.7485070432915987,273489,132737,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Cataluña,1220930,168400,519100,1908430,1456572,0.7632305088475868,1016739,439833,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,C. Valenciana,711550,96800,337500,1145850,870750,0.7599162194004451,607889,262861,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Extremadura,211265,28100,70900,310265,244116,0.7867983820282661,166278,77838,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Galicia,532465,73600,180300,786365,559141,0.711045125355274,382942,176199,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,La Rioja,50375,7800,21300,79475,69384,0.8730292544825417,45150,24234,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Madrid,996765,136100,452500,1585365,1194726,0.7535968057828955,801090,393636,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Murcia,228875,29400,100800,359075,262673,0.7315268397966999,171837,90836,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Navarra,113055,15400,44100,172555,134191,0.7776708875431022,91025,43166,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,País Vasco,314550,52900,148200,515650,441562,0.8563211480655484,325432,116130,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Ceuta,9000,1300,5800,16100,13813,0.8579503105590062,10178,3635,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Melilla,9000,1200,5800,16000,11584,0.724,9093,2491,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Fuerzas Armadas,19500,0,66100,85600,54450,0.6360981308411215,49423,5027,5/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Totales,7633275,1044000,3232200,11909475,9021001,0.7574642039216675,6118710,2902291,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
