date_pub,ccaa,Personas pauta completa ≥80 años,Población INE≥80 años,%,Personas pauta completa 70-79 años,Población INE70-79 años,%.1,Personas pauta completa 60-69 años,Población INE60-69 años,%.2,Personas pauta completa 50-59 años,Población INE50-59 años,%.3,Personas pauta completa 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas pauta completa,Total Población INE Población a Vacunar (1),% pauta completa sobre Población a Vacunar INE,source_name,source
6/4/21,Andalucía,255247,413516,0.617260275297691,13621,650381,0.02094310873165114,42132,916147,0.04598825297686943,70999,1265021,0.0561247599842216,131203,3009381,0.043598002379891414,11875,625846,0.018974316365367838,83,181921,0.0004562419951517417,525160,7062213,0.07436195991256565,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Aragón,47379,98807,0.4795105609926422,3174,118955,0.02668235887520491,9384,156367,0.060012662518306295,13957,198266,0.07039532748933251,21549,446083,0.04830715360145982,1437,89180,0.01611347835837632,25,25106,0.0009957779016968055,96905,1132764,0.08554738674604773,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Asturias ,43015,87826,0.48977523740122514,3610,109249,0.033043780721105,9907,149652,0.06620025124956566,13574,162645,0.08345783762181438,20970,322095,0.06510501560098729,2327,54179,0.04295022056516362,25,15563,0.0016063740923986378,93428,901209,0.10366962602459585,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Baleares,16151,49542,0.3260062169472367,2113,80516,0.026243231159024293,4915,117231,0.041925770487328436,7586,165797,0.045754748276506815,17406,464054,0.03750856581346136,1232,85839,0.014352450517829891,30,23300,0.0012875536480686696,49433,986279,0.05012070620990612,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Canarias,34382,90236,0.38102309499534553,13081,154531,0.08464968194084035,9151,235092,0.038925186735405716,16944,350512,0.04834071301410508,34286,832411,0.041188787750282015,2365,163899,0.014429618240501773,19,44352,0.0004283910533910534,110228,1871033,0.05891291067554661,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Cantabria,22936,41042,0.5588421616880269,1668,53066,0.03143255568537293,3715,77345,0.04803154696489754,5528,89964,0.061446800942599265,10416,194241,0.05362410613619164,595,34935,0.0170316301703163,3,10791,0.00027800945232137893,44861,501384,0.0894743350406076,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Castilla y Leon,110578,223657,0.49440884926472234,9201,245410,0.0374923597245426,19963,318575,0.06266342305579534,29803,381175,0.07818718436413721,41433,738950,0.05607009946545775,2593,144422,0.01795432828793397,82,40684,0.0020155343624029104,213653,2092873,0.10208598419493203,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Castilla - La Mancha,55351,135194,0.4094190570587452,5331,159101,0.03350701755488652,13241,218444,0.060615077548479245,21791,307478,0.07087011103233402,33644,707865,0.04752883671321509,3301,149518,0.02207760938482323,78,42364,0.001841185912567274,132737,1719964,0.07717428969443546,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,Cataluña,158526,447196,0.35448885947101494,26520,635292,0.04174458359305642,47243,837584,0.056403895012321154,66146,1091780,0.060585465936360806,125439,2803626,0.044741702352596245,15767,556316,0.02834180573630814,192,159864,0.001201020867737577,439833,6531658,0.06733864510358625,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
6/4/21,C. Valenciana,123997,276531,0.4484018066690534,9950,437862,0.022724054610813452,23008,580728,0.03961923654447521,33286,752334,0.04424364710354709,67423,1765967,0.03817908262158919,5106,352834,0.014471394480123797,91,103049,0.0008830750419703248,262861,4269305,0.061569974504046915,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210406.ods
