date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
29/7/21,Andalucía,6728760,1011000,1805800,476000,10021560,9965811,0.9944370936261421,5605215,4632313,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
29/7/21,Aragón,1166805,153300,285700,56900,1662705,1603923,0.9646467653612637,917638,775432,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
29/7/21,Asturias,976685,126400,235900,43750,1382735,1388420,1.0041114168658491,760965,675107,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
29/7/21,Baleares,901260,155000,256400,55550,1368210,1298820,0.9492841011248273,743201,628342,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
29/7/21,Canarias,1689450,284700,503700,120900,2598750,2470388,0.950606253006253,1435013,1166737,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
29/7/21,Cantabria,514365,67300,130200,24950,736815,696260,0.9449590467077896,385486,331616,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
29/7/21,Castilla y Leon,2288235,305000,514400,102850,3210485,3024379,0.9420318113929826,1692268,1477016,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
29/7/21,Castilla La Mancha,1717425,240500,460900,89425,2508250,2401330,0.9573726701883783,1366412,1108531,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
29/7/21,Cataluña,6336170,895800,1698100,394000,9324070,8866101,0.950883144377938,4981294,4346522,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
29/7/21,C. Valenciana,4048390,573000,1009800,307250,5938440,5696891,0.959324502731357,3241938,2656163,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
29/7/21,Extremadura,937835,121900,228000,45550,1333285,1345639,1.009265835886551,751210,659731,28/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210729.ods
