date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Pfizer pediatrica,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
5/1/22,Andalucía,10486800,264000,2619500,1537200,333500,15241000,15099148.5,0.9906927695033134,7183895,6858691,2104448,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Aragón,1675761,36000,368490,255200,63565,2399016,2377196.5,0.990904812639849,1117858,1066685,427805,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Asturias,1447025,24000,441040,220900,43000,2175965,2090184.5,0.9605781802556567,902243,870240,501220,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Baleares,1318884,36000,467070,225400,56420,2103774,1856630.0,0.8825235029998469,901206,868328,265247,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Canarias,2503770,54000,674700,455800,133650,3821920,3715132.0,0.9720590697869134,1764488,1665366,585385,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Cantabria,844305,18000,145400,125200,22200,1155105,1123305.5,0.9724704680526879,508181,484806,213092,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Castilla y Leon,3867393,54000,611570,466170,95310,5094443,4765987.0,0.9355266120358987,2083740,1995389,982553,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Castilla La Mancha,2531745,60000,821270,382100,93735,3888850,3569134.5,0.91778662072335,1696226,1588801,654430,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Cataluña,8569700,234000,2954900,1514300,375750,13648650,12957710.5,0.9493767149131965,6336938,6013469,2254502,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,C. Valenciana,6256180,150000,1843650,863900,213125,9326855,9032858.0,0.9684784420900722,4254065,4074611,1564520,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Extremadura,1464233,30000,251770,182600,41255,1969858,2050514.0,1.0,930915,892795,385714,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Galicia,3874579,60000,785000,573400,122700,5415679,5578468.0,1.0,2408388,2311643,1397613,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,La Rioja,421265,12000,91600,53240,15200,593305,575151.0,0.9694019096417525,272070,259164,102901,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Madrid,8228535,204000,2120800,1222100,321450,12096885,11784194.0,0.9741511141091281,5621122,5340363,2039220,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Murcia,1687865,48000,548000,253010,68300,2605175,2538271.0,0.9743188077576362,1262520,1190399,376599,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Navarra,822075,18000,226500,136600,23750,1226925,1181680.5,0.9631236628155755,552793,529728,209799,3/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,País Vasco,2842920,60000,742900,444200,101300,4191320,4019176.5,0.9589285714285715,1902182,1811202,776841,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Ceuta,97920,6000,22270,18100,3935,148225,131132.0,0.8846820711755776,66244,61304,17734,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Melilla,96750,6000,23500,15100,5750,147100,127886.5,0.8693847722637661,63682,58680,19751,3/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Fuerzas Armadas,48138,0,58300,103800,2000,212238,206407.5,0.9725284821756707,95326,92075,38258,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Sanidad Exterior,0,0,6130,0,4640,10770,10748.0,0.9979572887650882,7840,7373,434,4/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
5/1/22,Totales,59085843,1374000,15824360,9048320,2140535,87473058,84790916.0,0.9693375073271132,39931922,38041112,14918066,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220105.ods
