date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas,Dosis administradas,% sobre entregadas,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
26/3/21,Andalucía,999270,111200,361600,1472070,1330236,0.9036499622979886,489306,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Aragón,187515,21700,56800,266015,229883,0.8641730729470143,84463,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Asturias,182255,20700,43600,246555,202304,0.8205228042424612,79184,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Baleares,99810,11100,49900,160810,135857,0.8448293016603445,39248,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Canarias,209400,22900,93000,325300,260467,0.8006978173993237,94471,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Cantabria,88485,9700,24800,122985,101069,0.8217994064316787,42194,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Castilla y Leon,413895,47700,102400,563995,476751,0.8453106853784165,180124,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Castilla La Mancha,270135,31000,87400,388535,304832,0.7845676708662025,110987,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Cataluña,923750,105400,332500,1361650,1095847,0.8047934491242242,397561,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,C. Valenciana,518500,57800,216100,792400,636120,0.802776375567895,238199,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Extremadura,160955,17800,45400,224155,188839,0.8424483058597845,72729,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Galicia,369835,41400,115500,526735,431274,0.8187684509288352,140426,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,La Rioja,45695,4800,13600,64095,55033,0.8586161167017708,18969,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Madrid,753405,85200,289800,1128405,943113,0.8357929998537759,306011,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Murcia,179735,19800,64500,264035,214308,0.811665120154525,76965,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Navarra,86145,9700,28200,124045,107705,0.8682736103833286,35177,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,País Vasco,275940,30800,94900,401640,316978,0.7892092421073599,89366,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Ceuta,6660,900,3700,11260,10529,0.9350799289520426,3314,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Melilla,6660,800,3700,11160,9784,0.8767025089605734,2410,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Fuerzas Armadas,19500,0,33100,52600,16442,0.31258555133079846,4738,25/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
26/3/21,Totales,5797545,650400,2060500,8508445,7067371,0.8306301562741488,2505842,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210326.ods
