date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Pfizer pediatrica,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
23/12/21,Andalucía,10486800,264000,2119500,1537200,333500,14741000,15019363,1.0,7121879,6830872,1847371,22/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211223.ods
23/12/21,Aragón,1675761,36000,368490,255200,63565,2399016,2393809,0.9978295267726435,1102541,1060410,363252,22/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211223.ods
23/12/21,Asturias,1447025,24000,341040,220900,43000,2075965,2078769,1.0,894138,868379,390561,22/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211223.ods
23/12/21,Baleares,1318884,36000,405070,225400,56420,2041774,1863408,0.9126416537775484,890343,862502,211677,22/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211223.ods
23/12/21,Canarias,2503770,54000,624700,455800,133650,3771920,3663528,0.971263441430359,1732647,1660163,448103,22/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211223.ods
23/12/21,Cantabria,844305,18000,127900,125200,22200,1137605,1100949,0.9677779194008466,498392,482140,165617,21/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211223.ods
23/12/21,Castilla y Leon,3867399,54000,611570,466170,97620,5096759,4703243,0.9227909343957601,2063589,1991039,875645,22/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211223.ods
23/12/21,Castilla La Mancha,2531745,60000,631270,382100,93735,3698850,3633382,0.9823004447328224,1686541,1578121,539487,22/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211223.ods
23/12/21,Cataluña,8569700,234000,2654900,1514300,375750,13348650,13213491,0.9898747064309874,6225737,5967208,1768967,22/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211223.ods
23/12/21,C. Valenciana,6256180,150000,1543650,863900,213125,9026855,9065313,1.0,4236595,4053311,1240658,22/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211223.ods
