date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
22/10/21,Andalucía,9434970,2019500,1528900,333500,13316870,12907388,0.9692508825272005,6835126,6725458,94695,21/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211022.ods
22/10/21,Aragón,1531845,275200,265100,64700,2136845,2001924,0.9368597160767393,1065557,1046028,17596,21/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211022.ods
22/10/21,Asturias,1224725,162000,220900,43000,1650625,1676341,1.0155795531995457,873117,863977,13326,21/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211022.ods
22/10/21,Baleares,1272150,305100,256400,57600,1891250,1604156,0.8481988103106411,855215,837532,6127,21/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211022.ods
22/10/21,Canarias,2358690,574700,455800,133650,3522840,3143388,0.8922880403310965,1671575,1630571,12710,21/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211022.ods
22/10/21,Cantabria,727305,114900,125200,22200,989605,920283,0.9299498284669135,481821,475507,7375,21/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211022.ods
22/10/21,Castilla y Leon,2916525,412400,481200,102200,3912325,3793355,0.9695909721201588,1999544,1959795,62850,20/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211022.ods
22/10/21,Castilla La Mancha,2330505,446800,394900,95075,3267280,3023247,0.9253100438285057,1616516,1554433,21000,21/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211022.ods
22/10/21,Cataluña,8368460,1604900,1514300,375750,11863410,11136235,0.9387043860070586,5956736,5821886,69457,21/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211022.ods
22/10/21,C. Valenciana,5797540,1213650,863900,213450,8088540,7653468,0.9462113063667856,4069552,4002363,39075,21/10/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211022.ods
