date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Pfizer pediatrica,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
29/12/21,Andalucía,10486800,264000,2419500,1537200,333500,15041000,15159602,1.0,7151112,6840041,1951623,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Aragón,1675761,36000,368490,255200,63565,2399016,2431644,1.0,1110767,1061789,391696,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Asturias,1447025,24000,391040,220900,43000,2125965,2130181,1.0,898319,868750,436920,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Baleares,1318884,36000,467070,225400,56420,2103774,1893798,0.9001907999623534,894560,863615,236540,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Canarias,2503770,54000,624700,455800,133650,3771920,3742726,0.9922601751892935,1748354,1661825,510018,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Cantabria,844305,18000,127900,125200,22200,1137605,1126407,0.9901565130251713,503681,482597,185082,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Castilla y Leon,3867393,54000,611570,466170,95310,5094443,4760557,0.9344607447762199,2075148,1992155,917351,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Castilla La Mancha,2531745,60000,751270,382100,93735,3818850,3687881,0.9657045969336319,1690781,1578318,589756,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Cataluña,8569700,234000,2654900,1514300,375750,13348650,13482456,1.0,6274586,5979971,1975474,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,C. Valenciana,6256180,150000,1843650,863900,213125,9326855,9213598,0.9878568928111352,4242198,4054572,1381877,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Extremadura,1464233,30000,231770,182600,41245,1949848,2073392,1.0,930077,890022,344721,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Galicia,3874579,60000,760000,573400,122700,5390679,5767742,1.0,2380219,2301193,1303894,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,La Rioja,421265,12000,91600,53240,15200,593305,589243,0.993153605649708,269204,258004,97624,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Madrid,8228535,204000,2120800,1222100,321450,12096885,11735451,0.9701217296849561,5535930,5298888,1791375,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Murcia,1687865,48000,498000,253010,68300,2555175,2637821,1.0,1247495,1187609,335770,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Navarra,822075,18000,226500,136600,23750,1226925,1204767,0.9819402163946451,548989,527142,198910,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,País Vasco,2842920,60000,742900,444200,101300,4191320,4141870,0.9882018075451171,1886078,1800706,696561,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Ceuta,97920,6000,22270,18100,3935,148225,133866,0.9031270028672627,65789,61122,15114,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Melilla,96750,6000,23500,15100,5750,147100,128780,0.8754588715159756,63492,58290,17978,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Fuerzas Armadas,48138,0,58300,103800,2000,212238,185010,0.8717100613462245,95301,91287,33256,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Sanidad Exterior,0,0,5980,0,4640,10620,10716,1.0,7790,7351,236,28/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
29/12/21,Totales,59085843,1374000,15041710,9048320,2140525,86690398,86237508,0.9947757766667538,39619870,37865247,13411776,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211229.ods
