PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Navarra;27JUN2021;10;421;4;195
Cuenca;27JUN2021;2;16;3;53
Toledo;27JUN2021;5;98;4;210
Burgos;27JUN2021;11;87;8;154
Pontevedra;27JUN2021;13;394;43;810
Soria;27JUN2021;0;30;3;91
Coruña, A;27JUN2021;11;444;42;1081
Lugo;27JUN2021;3;100;12;351
Araba/Álava;27JUN2021;4;89;2;647
Albacete;27JUN2021;3;75;5;177
Valencia/València;27JUN2021;40;199;64;823
Asturias;27JUN2021;3;109;51;1496
León;27JUN2021;9;90;3;184
Granada;27JUN2021;27;166;51;360
Ciudad Real;27JUN2021;2;81;1;191
Girona;27JUN2021;63;324;8;282
Badajoz;27JUN2021;10;420;21;383
Cáceres;27JUN2021;11;106;17;297
Lleida;27JUN2021;27;169;4;148
Cantabria;27JUN2021;6;100;93;1145
Valladolid;27JUN2021;13;80;14;350
Alicante/Alacant;27JUN2021;6;395;14;425
Segovia;27JUN2021;1;40;0;56
Zamora;27JUN2021;3;20;1;44
Baleares;27JUN2021;52;887;123;1326
Ourense;27JUN2021;0;146;11;313
Zaragoza;27JUN2021;15;182;8;347
Rioja, La;27JUN2021;12;307;5;294
Santa Cruz de Tenerife;27JUN2021;10;212;67;802
Almería;27JUN2021;5;59;11;434
Melilla;27JUN2021;0;67;0;35
Ceuta;27JUN2021;0;25;0;28
Palencia;27JUN2021;0;21;3;194
Sevilla;27JUN2021;27;627;13;231
Ávila;27JUN2021;0;32;1;85
Salamanca;27JUN2021;2;19;4;250
Barcelona;27JUN2021;516;2277;240;2404
Teruel;27JUN2021;3;27;0;58
Tarragona;27JUN2021;78;352;3;141
Málaga;27JUN2021;29;218;33;473
Murcia;27JUN2021;2;167;21;713
Madrid;27JUN2021;76;1945;70;2457
Jaén;27JUN2021;30;160;15;201
Guadalajara;27JUN2021;1;40;0;44
Bizkaia;27JUN2021;14;231;43;1193
Huelva;27JUN2021;2;45;12;134
Gipuzkoa;27JUN2021;15;229;37;840
Córdoba;27JUN2021;34;406;30;364
Palmas, Las;27JUN2021;5;284;9;506
Cádiz;27JUN2021;20;246;15;516
Castellón/Castelló;27JUN2021;6;87;3;109
Huesca;27JUN2021;1;42;0;46
Tarragona;26JUN2021;39;347;6;302
Araba/Álava;26JUN2021;4;90;14;323
Guadalajara;26JUN2021;1;31;2;104
Huesca;26JUN2021;2;37;1;71
