PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Soria;17MAY2022;44;117;15;83
Zamora;17MAY2022;60;166;45;180
Madrid;17MAY2022;3119;6378;504;2763
Tarragona;17MAY2022;176;558;34;539
Cuenca;17MAY2022;87;161;28;150
Burgos;17MAY2022;113;242;54;573
Baleares;17MAY2022;222;715;131;789
Coruña, A;17MAY2022;160;453;277;797
Ourense;17MAY2022;51;219;88;434
Granada;17MAY2022;219;634;88;212
Albacete;17MAY2022;211;437;33;216
Zaragoza;17MAY2022;430;768;42;194
Valladolid;17MAY2022;231;519;96;490
Girona;17MAY2022;150;427;39;623
Huesca;17MAY2022;93;157;14;49
Navarra;17MAY2022;252;600;57;307
Toledo;17MAY2022;336;677;25;154
DESLOCALIZADOS;17MAY2022;201;870;64;415
Huelva;17MAY2022;119;274;46;177
Málaga;17MAY2022;221;553;162;487
Castellón/Castelló;17MAY2022;136;250;43;202
Lleida;17MAY2022;132;380;31;400
Cádiz;17MAY2022;419;1083;117;267
Asturias;17MAY2022;157;537;211;1406
Lugo;17MAY2022;46;170;84;408
Sevilla;17MAY2022;623;1547;199;366
Ciudad Real;17MAY2022;216;494;51;298
Segovia;17MAY2022;46;129;13;121
Teruel;17MAY2022;56;96;7;22
Guadalajara;17MAY2022;83;157;16;116
Badajoz;17MAY2022;396;835;53;181
Cáceres;17MAY2022;258;615;12;56
Almería;17MAY2022;133;375;122;216
Alicante/Alacant;17MAY2022;261;532;241;891
Barcelona;17MAY2022;1236;4163;521;4891
Rioja, La;17MAY2022;167;607;13;31
Salamanca;17MAY2022;196;343;21;144
Córdoba;17MAY2022;237;591;28;95
Cantabria;17MAY2022;217;620;77;495
León;17MAY2022;176;491;78;433
Palencia;17MAY2022;77;165;48;177
Jaén;17MAY2022;199;502;54;168
Ceuta;17MAY2022;54;71;5;20
Pontevedra;17MAY2022;84;301;166;375
Ávila;17MAY2022;89;230;24;118
Valencia/València;17MAY2022;446;783;302;1193
Murcia;17MAY2022;560;1386;182;1258
Huesca;16MAY2022;120;218;44;90
Tarragona;16MAY2022;287;875;87;811
Cádiz;16MAY2022;505;1350;93;274
Baleares;16MAY2022;285;1044;197;1055
Granada;16MAY2022;289;878;107;211
DESLOCALIZADOS;16MAY2022;336;1850;136;1083
León;16MAY2022;206;627;102;518
Lleida;16MAY2022;224;596;58;470
Coruña, A;16MAY2022;358;985;205;718
Bizkaia;16MAY2022;579;1014;106;931
