PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Jaén;20JUN2021;7;96;14;232
Huelva;20JUN2021;5;62;18;412
Ávila;20JUN2021;3;44;6;77
Zaragoza;20JUN2021;11;182;5;362
Cuenca;20JUN2021;1;8;3;64
Cantabria;20JUN2021;3;97;63;888
Badajoz;20JUN2021;6;392;3;382
Melilla;20JUN2021;0;31;0;32
Santa Cruz de Tenerife;20JUN2021;13;155;71;823
Soria;20JUN2021;0;24;0;69
Córdoba;20JUN2021;92;635;22;347
Ceuta;20JUN2021;0;17;0;36
Salamanca;20JUN2021;0;37;3;234
Cádiz;20JUN2021;19;205;6;279
Huesca;20JUN2021;1;47;0;51
Baleares;20JUN2021;14;847;18;1063
Toledo;20JUN2021;3;104;2;169
Palencia;20JUN2021;0;45;1;96
Girona;20JUN2021;16;207;0;205
Lleida;20JUN2021;2;111;3;114
Albacete;20JUN2021;3;69;17;192
Murcia;20JUN2021;4;164;8;716
Segovia;20JUN2021;0;34;0;113
Zamora;20JUN2021;3;44;0;49
Castellón/Castelló;20JUN2021;0;5;0;0
Barcelona;20JUN2021;93;1092;53;1757
Sevilla;20JUN2021;30;557;37;313
Granada;20JUN2021;21;136;19;407
Lugo;20JUN2021;3;92;8;356
Cáceres;20JUN2021;1;80;4;238
Valencia/València;20JUN2021;0;19;0;0
Coruña, A;20JUN2021;6;393;35;1164
Araba/Álava;20JUN2021;2;83;10;115
Burgos;20JUN2021;6;104;0;156
Teruel;20JUN2021;1;27;0;38
Ciudad Real;20JUN2021;2;74;4;161
Almería;20JUN2021;4;52;26;501
León;20JUN2021;6;107;1;148
Pontevedra;20JUN2021;5;355;11;524
Valladolid;20JUN2021;9;131;7;334
Madrid;20JUN2021;63;1632;69;2444
Málaga;20JUN2021;21;217;36;778
Bizkaia;20JUN2021;24;385;33;1452
Rioja, La;20JUN2021;11;203;10;266
Tarragona;20JUN2021;15;239;0;106
Gipuzkoa;20JUN2021;5;263;10;443
Ourense;20JUN2021;4;151;5;255
Navarra;20JUN2021;12;411;26;674
Guadalajara;20JUN2021;3;42;1;41
Palmas, Las;20JUN2021;6;237;8;415
Alicante/Alacant;20JUN2021;0;6;0;0
Asturias;20JUN2021;1;107;57;1574
Segovia;19JUN2021;1;28;2;123
Soria;19JUN2021;0;6;1;107
Teruel;19JUN2021;0;26;3;47
Cádiz;19JUN2021;19;240;53;859
Madrid;19JUN2021;61;2442;191;5537
Málaga;19JUN2021;29;258;39;754
Córdoba;19JUN2021;73;490;86;773
Melilla;19JUN2021;0;71;0;50
Cantabria;19JUN2021;3;76;71;946
Palmas, Las;19JUN2021;6;247;18;1022
Salamanca;19JUN2021;1;31;1;230
Almería;19JUN2021;3;46;18;631
Lleida;19JUN2021;1;126;3;176
Araba/Álava;19JUN2021;7;101;11;720
Zamora;19JUN2021;2;50;2;53
León;19JUN2021;7;94;35;343
Coruña, A;19JUN2021;7;419;35;1997
Toledo;19JUN2021;4;98;4;186
Cáceres;19JUN2021;1;111;10;366
Valencia/València;19JUN2021;4;42;31;399
Guadalajara;19JUN2021;2;35;1;113
Ávila;19JUN2021;0;45;3;227
Sevilla;19JUN2021;29;581;65;821
Huesca;19JUN2021;1;39;2;66
Palencia;19JUN2021;1;44;10;140
Huelva;19JUN2021;8;53;9;339
Ourense;19JUN2021;0;174;6;360
Rioja, La;19JUN2021;15;260;6;368
Cuenca;19JUN2021;0;8;2;136
Granada;19JUN2021;20;156;39;547
Lugo;19JUN2021;2;116;9;574
Bizkaia;19JUN2021;37;452;55;1259
Barcelona;19JUN2021;92;1554;125;3770
Jaén;19JUN2021;11;95;24;639
Girona;19JUN2021;12;294;31;504
Alicante/Alacant;19JUN2021;0;12;23;442
Tarragona;19JUN2021;12;302;11;266
Ciudad Real;19JUN2021;1;82;5;185
Albacete;19JUN2021;2;54;6;236
Ceuta;19JUN2021;1;36;0;23
Santa Cruz de Tenerife;19JUN2021;32;318;76;1077
Valladolid;19JUN2021;8;102;6;329
Murcia;19JUN2021;26;338;35;1507
Gipuzkoa;19JUN2021;11;250;23;985
Zaragoza;19JUN2021;12;216;17;480
Burgos;19JUN2021;7;129;7;319
Pontevedra;19JUN2021;4;311;11;654
Navarra;19JUN2021;15;363;55;690
Baleares;19JUN2021;7;969;32;1407
Asturias;19JUN2021;3;107;56;1394
Castellón/Castelló;19JUN2021;0;21;1;38
Badajoz;19JUN2021;5;593;31;640
Valladolid;18JUN2021;13;284;33;565
Huelva;18JUN2021;17;214;51;678
Coruña, A;18JUN2021;12;621;48;1801
Ávila;18JUN2021;6;95;14;181
Ciudad Real;18JUN2021;8;157;22;517
Córdoba;18JUN2021;131;809;71;626
Palmas, Las;18JUN2021;6;903;41;1066
Lugo;18JUN2021;1;182;7;429
Cantabria;18JUN2021;2;102;76;1387
Albacete;18JUN2021;3;110;12;308
Gipuzkoa;18JUN2021;10;437;11;491
Navarra;18JUN2021;17;795;85;1000
Alicante/Alacant;18JUN2021;30;564;51;1288
Baleares;18JUN2021;11;1191;45;2160
Cáceres;18JUN2021;5;170;23;656
Toledo;18JUN2021;21;275;33;581
Salamanca;18JUN2021;2;81;6;278
Málaga;18JUN2021;54;841;159;1565
Cádiz;18JUN2021;54;612;90;982
Zamora;18JUN2021;1;68;5;270
Asturias;18JUN2021;2;205;60;1799
Ourense;18JUN2021;6;245;9;425
Castellón/Castelló;18JUN2021;10;208;12;524
Bizkaia;18JUN2021;40;747;59;1842
Rioja, La;18JUN2021;19;291;25;283
Madrid;18JUN2021;200;7020;286;8140
Almería;18JUN2021;6;196;22;751
Huesca;18JUN2021;3;70;0;239
Araba/Álava;18JUN2021;17;195;12;398
Valencia/València;18JUN2021;74;786;86;2996
Badajoz;18JUN2021;4;535;48;670
Pontevedra;18JUN2021;7;453;14;682
Girona;18JUN2021;17;486;15;815
Granada;18JUN2021;37;273;157;1435
Tarragona;18JUN2021;20;645;23;1026
Santa Cruz de Tenerife;18JUN2021;39;662;99;1625
