PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Valencia/València;26JUN2021;110;370;249;1968
Bizkaia;26JUN2021;33;291;35;1431
Baleares;26JUN2021;30;999;71;1344
Almería;26JUN2021;0;36;46;775
Gipuzkoa;26JUN2021;15;276;28;839
Palencia;26JUN2021;0;33;4;173
Burgos;26JUN2021;16;95;8;191
Tarragona;26JUN2021;39;311;2;167
Valladolid;26JUN2021;6;108;3;266
Araba/Álava;26JUN2021;4;90;14;323
Ourense;26JUN2021;2;199;13;348
Córdoba;26JUN2021;53;458;56;452
Ceuta;26JUN2021;3;34;1;22
Cádiz;26JUN2021;20;261;94;655
Cuenca;26JUN2021;2;20;3;112
Málaga;26JUN2021;58;284;74;1134
Soria;26JUN2021;2;19;3;115
Guadalajara;26JUN2021;1;31;2;101
Ávila;26JUN2021;2;58;5;252
Barcelona;26JUN2021;331;2269;103;2768
Rioja, La;26JUN2021;11;256;15;246
Zamora;26JUN2021;2;32;5;42
Huelva;26JUN2021;7;74;13;346
Madrid;26JUN2021;72;1836;254;4906
Segovia;26JUN2021;1;30;3;85
Coruña, A;26JUN2021;11;468;44;1607
Girona;26JUN2021;30;208;7;381
Badajoz;26JUN2021;17;388;36;511
Albacete;26JUN2021;2;74;2;300
Murcia;26JUN2021;19;409;55;1535
Jaén;26JUN2021;21;116;44;862
Pontevedra;26JUN2021;18;403;32;1001
Alicante/Alacant;26JUN2021;21;504;66;1307
Cáceres;26JUN2021;11;112;42;335
Lleida;26JUN2021;17;185;1;143
Lugo;26JUN2021;4;127;9;363
Castellón/Castelló;26JUN2021;8;109;8;202
Melilla;26JUN2021;0;77;0;55
Ciudad Real;26JUN2021;3;78;4;231
Sevilla;26JUN2021;18;507;170;1102
León;26JUN2021;2;62;65;494
Asturias;26JUN2021;1;98;49;1264
Salamanca;26JUN2021;1;33;4;231
Granada;26JUN2021;26;152;49;547
Cantabria;26JUN2021;9;108;92;1181
Toledo;26JUN2021;5;95;10;243
Bizkaia;25JUN2021;27;588;53;1827
Valencia/València;25JUN2021;211;890;332;3425
Tarragona;25JUN2021;39;513;38;836
Pontevedra;25JUN2021;17;507;49;902
Jaén;25JUN2021;39;293;51;549
Palencia;25JUN2021;1;46;11;168
Cuenca;25JUN2021;0;22;3;164
Ávila;25JUN2021;4;67;6;119
Palmas, Las;25JUN2021;7;402;27;636
Navarra;25JUN2021;9;635;49;677
Córdoba;25JUN2021;69;746;94;735
Soria;25JUN2021;1;20;2;70
Toledo;25JUN2021;29;218;26;509
Guadalajara;25JUN2021;8;103;10;240
Segovia;25JUN2021;2;54;0;137
Ourense;25JUN2021;4;265;13;356
Albacete;25JUN2021;10;98;19;332
Burgos;25JUN2021;8;157;19;471
Castellón/Castelló;25JUN2021;21;280;18;497
Rioja, La;25JUN2021;12;268;23;278
Cádiz;25JUN2021;43;512;98;1129
Almería;25JUN2021;9;111;50;735
Asturias;25JUN2021;11;228;64;1365
Alicante/Alacant;25JUN2021;66;1117;74;1332
Baleares;25JUN2021;28;1517;75;1608
Araba/Álava;25JUN2021;13;248;8;329
Granada;25JUN2021;47;304;147;1255
Salamanca;25JUN2021;1;79;13;310
Madrid;25JUN2021;363;9593;310;7936
Huelva;25JUN2021;11;174;50;709
Barcelona;25JUN2021;621;5394;604;7949
Santa Cruz de Tenerife;25JUN2021;20;394;86;1239
Girona;25JUN2021;35;504;15;657
Ceuta;25JUN2021;2;50;0;41
Sevilla;25JUN2021;92;1328;147;1250
Ciudad Real;25JUN2021;4;125;13;397
Melilla;25JUN2021;0;84;2;44
Cáceres;25JUN2021;3;284;13;438
Cantabria;25JUN2021;3;101;109;1504
León;25JUN2021;5;112;47;522
Badajoz;25JUN2021;14;743;38;727
Murcia;25JUN2021;29;721;38;946
Lugo;25JUN2021;0;187;13;445
Coruña, A;25JUN2021;6;607;50;1411
Gipuzkoa;25JUN2021;17;456;69;870
Zamora;25JUN2021;1;39;2;234
Málaga;25JUN2021;88;950;160;1496
Lleida;25JUN2021;12;333;19;541
Valladolid;25JUN2021;13;203;18;555
Cáceres;24JUN2021;3;239;26;421
Palmas, Las;24JUN2021;8;665;32;1092
Cantabria;24JUN2021;6;98;106;1305
Madrid;24JUN2021;288;10761;357;7973
Asturias;24JUN2021;4;164;101;1791
Soria;24JUN2021;1;19;0;61
Barcelona;24JUN2021;180;1260;163;2551
León;24JUN2021;6;79;37;278
Huesca;24JUN2021;2;60;11;96
Palencia;24JUN2021;0;60;11;130
Zaragoza;24JUN2021;26;449;11;539
Granada;24JUN2021;43;300;143;1182
Coruña, A;24JUN2021;5;498;53;1559
Albacete;24JUN2021;2;101;5;131
Huelva;24JUN2021;13;331;60;616
Alicante/Alacant;24JUN2021;22;877;18;745
Baleares;24JUN2021;20;1190;72;1160
Sevilla;24JUN2021;90;1432;179;1472
Ourense;24JUN2021;5;216;7;356
Córdoba;24JUN2021;72;721;66;510
Murcia;24JUN2021;38;764;40;981
Jaén;24JUN2021;44;274;54;619
Valencia/València;24JUN2021;44;382;113;1336
Castellón/Castelló;24JUN2021;6;161;5;250
Araba/Álava;24JUN2021;18;226;10;166
Teruel;24JUN2021;4;32;2;57
Cuenca;24JUN2021;4;26;2;108
Toledo;24JUN2021;16;181;33;403
Rioja, La;24JUN2021;42;443;6;184
Ceuta;24JUN2021;3;97;1;47
Navarra;24JUN2021;22;717;66;929
Segovia;24JUN2021;0;69;3;136
Valladolid;24JUN2021;13;249;22;522
Salamanca;24JUN2021;3;44;3;252
Cádiz;24JUN2021;38;551;116;1109
Tarragona;24JUN2021;30;342;18;258
Málaga;24JUN2021;89;853;158;1585
Ciudad Real;24JUN2021;11;101;3;235
Lleida;24JUN2021;5;120;9;184
Guadalajara;24JUN2021;6;85;7;133
Melilla;24JUN2021;2;80;0;40
Bizkaia;24JUN2021;37;640;64;1374
Ávila;24JUN2021;1;35;28;145
Badajoz;24JUN2021;23;782;33;433
Lugo;24JUN2021;3;116;37;423
Gipuzkoa;24JUN2021;28;500;59;791
Burgos;24JUN2021;12;113;13;296
Pontevedra;24JUN2021;10;487;58;864
Girona;24JUN2021;11;140;13;243
Santa Cruz de Tenerife;24JUN2021;53;730;93;1972
Almería;24JUN2021;11;147;41;535
Zamora;24JUN2021;1;33;1;157
Coruña, A;23JUN2021;11;590;34;1540
León;23JUN2021;7;112;30;394
Sevilla;23JUN2021;102;1976;167;1585
Barcelona;23JUN2021;401;5154;547;8461
Granada;23JUN2021;58;314;149;1485
Pontevedra;23JUN2021;14;444;43;835
Gipuzkoa;23JUN2021;28;539;15;1059
Alicante/Alacant;23JUN2021;45;976;70;1318
Girona;23JUN2021;15;529;28;550
Córdoba;23JUN2021;108;992;123;871
Zaragoza;23JUN2021;29;430;42;974
Bizkaia;23JUN2021;39;737;54;2124
Toledo;23JUN2021;12;205;19;494
Cuenca;23JUN2021;1;13;1;104
Teruel;23JUN2021;3;55;3;120
Valencia/València;23JUN2021;190;961;300;3033
Asturias;23JUN2021;5;174;62;2473
Navarra;23JUN2021;17;792;51;865
Soria;23JUN2021;3;28;4;97
Zamora;23JUN2021;3;31;1;213
Salamanca;23JUN2021;5;81;5;328
Palmas, Las;23JUN2021;25;836;39;1120
Cantabria;23JUN2021;2;108;79;1317
Cádiz;23JUN2021;56;626;131;1522
Castellón/Castelló;23JUN2021;7;248;22;491
Badajoz;23JUN2021;16;897;30;632
Segovia;23JUN2021;1;67;1;163
Albacete;23JUN2021;2;116;16;259
Santa Cruz de Tenerife;23JUN2021;54;747;102;1842
Araba/Álava;23JUN2021;5;180;10;592
Tarragona;23JUN2021;31;570;43;782
Lleida;23JUN2021;12;331;18;423
Murcia;23JUN2021;38;766;39;1387
Huelva;23JUN2021;10;190;45;939
Cáceres;23JUN2021;6;280;7;363
Ceuta;23JUN2021;1;91;1;45
Madrid;23JUN2021;356;9779;314;9465
Rioja, La;23JUN2021;19;329;17;471
Almería;23JUN2021;11;170;35;745
Valladolid;23JUN2021;5;264;9;676
Baleares;23JUN2021;35;898;87;1792
Guadalajara;23JUN2021;3;89;8;182
Jaén;23JUN2021;44;325;73;619
Melilla;23JUN2021;0;76;0;40
Ciudad Real;23JUN2021;4;125;14;329
Ourense;23JUN2021;6;214;14;363
Lugo;23JUN2021;4;130;14;415
Ávila;23JUN2021;0;65;8;170
Huesca;23JUN2021;8;75;3;137
Málaga;23JUN2021;88;901;125;1490
Burgos;23JUN2021;13;166;8;336
Palencia;23JUN2021;1;45;9;168
Lleida;22JUN2021;10;310;19;462
Lugo;22JUN2021;1;136;8;437
Palmas, Las;22JUN2021;11;851;26;1256
Baleares;22JUN2021;22;1018;75;1718
Rioja, La;22JUN2021;15;342;9;341
Jaén;22JUN2021;27;381;53;868
Alicante/Alacant;22JUN2021;38;926;78;1631
Burgos;22JUN2021;5;176;16;633
Cádiz;22JUN2021;60;750;102;1298
Cáceres;22JUN2021;7;306;21;460
Salamanca;22JUN2021;1;74;0;404
Araba/Álava;22JUN2021;19;247;9;575
Castellón/Castelló;22JUN2021;16;286;12;438
Huelva;22JUN2021;16;254;66;879
Ciudad Real;22JUN2021;8;146;11;521
Melilla;22JUN2021;2;107;1;65
Huesca;22JUN2021;2;65;12;232
Girona;22JUN2021;21;511;27;754
Ávila;22JUN2021;5;81;10;191
Sevilla;22JUN2021;119;1845;123;1415
Bizkaia;22JUN2021;31;788;40;1501
Albacete;22JUN2021;1;127;15;298
Granada;22JUN2021;50;567;128;1485
León;22JUN2021;8;126;36;441
Valladolid;22JUN2021;11;289;27;699
Pontevedra;22JUN2021;15;497;27;1212
Guadalajara;22JUN2021;7;95;7;169
Ourense;22JUN2021;2;226;6;362
Soria;22JUN2021;0;24;0;55
Navarra;22JUN2021;28;756;58;1254
Coruña, A;22JUN2021;12;658;57;1822
Almería;22JUN2021;11;261;48;889
Ceuta;22JUN2021;4;69;4;53
Santa Cruz de Tenerife;22JUN2021;69;783;74;1694
Tarragona;22JUN2021;38;582;38;947
Asturias;22JUN2021;10;232;75;2142
Murcia;22JUN2021;26;718;43;1692
Teruel;22JUN2021;4;58;12;150
Valencia/València;22JUN2021;122;1196;275;3637
Cantabria;22JUN2021;5;75;65;1509
Toledo;22JUN2021;16;212;25;570
Córdoba;22JUN2021;57;944;101;955
Badajoz;22JUN2021;20;770;16;826
Zaragoza;22JUN2021;25;440;48;968
Zamora;22JUN2021;0;60;2;229
Gipuzkoa;22JUN2021;38;559;33;1003
Palencia;22JUN2021;1;65;11;212
Cuenca;22JUN2021;5;29;11;191
Barcelona;22JUN2021;354;5152;486;8528
Madrid;22JUN2021;311;9328;322;10169
Málaga;22JUN2021;91;800;147;1643
Segovia;22JUN2021;0;80;3;178
Coruña, A;21JUN2021;5;699;44;1498
Palmas, Las;21JUN2021;14;920;29;1087
Girona;21JUN2021;24;798;18;968
Barcelona;21JUN2021;369;5625;406;8669
Ciudad Real;21JUN2021;7;133;12;531
Burgos;21JUN2021;9;235;1;295
Navarra;21JUN2021;20;831;40;968
Lugo;21JUN2021;6;139;6;434
Baleares;21JUN2021;21;992;62;1817
Badajoz;21JUN2021;12;803;16;851
Cádiz;21JUN2021;49;909;60;1250
Ceuta;21JUN2021;5;93;0;48
Albacete;21JUN2021;5;103;9;531
Toledo;21JUN2021;19;193;25;616
Asturias;21JUN2021;5;243;57;2153
Gipuzkoa;21JUN2021;12;565;14;1111
Huesca;21JUN2021;5;61;8;189
Rioja, La;21JUN2021;14;360;7;394
Soria;21JUN2021;0;34;4;126
Valencia/València;21JUN2021;96;1011;119;3242
Zaragoza;21JUN2021;33;459;74;1160
